Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,13.31,14.34,12.57,12.98,12.98,207589900
2021-05-17,13.67,14.38,13.39,13.95,13.95,158933100
2021-05-18,14.25,14.67,13.57,14.03,14.03,172488400
2021-05-19,12.95,13.31,12.14,12.64,12.64,89024100
2021-05-20,12.59,12.99,12.03,12.55,12.55,61419700
2021-05-21,12.61,12.84,12.05,12.08,12.08,53937700
2021-05-24,12.38,13.96,12.17,13.68,13.68,113319200
2021-05-25,13.61,16.67,13.55,16.41,16.41,213644100
2021-05-26,17.76,19.950001,17.26,19.559998999999998,19.559998999999998,379064100
2021-05-27,18.610001,29.76,18.309998999999998,26.52,26.52,705545700
2021-05-28,31.809998999999998,36.720001,24.17,26.120001000000002,26.120001000000002,660623600
2021-06-01,31.889999,33.529999,28.530001000000002,32.040001000000004,32.040001000000004,508694600
2021-06-02,37.52,72.620003,35.59,62.549999,62.549999,766462500
2021-06-03,58.099998,68.800003,37.66,51.34,51.34,598142200
2021-06-04,48.790001000000004,57.48,46.040001000000004,47.91,47.91,337710100
2021-06-07,52.380001,59.68,51.5,55.0,55.0,349094900
2021-06-08,57.16,60.619999,52.77,55.049999,55.049999,214490300
2021-06-09,52.200001,53.389998999999996,48.119999,49.34,49.34,150361300
2021-06-10,47.93,51.5,39.709998999999996,42.810001,42.810001,224860600
2021-06-11,44.68,49.599998,42.009997999999996,49.400002,49.400002,218006600
2021-06-14,51.830002,60.549999,51.52,57.0,57.0,301467300
2021-06-15,58.389998999999996,64.709999,56.73,59.040001000000004,59.040001000000004,285582100
2021-06-16,56.139998999999996,57.34,51.860001000000004,55.18,55.18,166450700
2021-06-17,54.0,63.830002,52.98,60.73,60.73,303576000
2021-06-18,61.259997999999996,64.959999,56.849998,59.259997999999996,59.259997999999996,243645900
2021-06-21,61.34,63.009997999999996,53.43,55.689999,55.689999,185876100
2021-06-22,54.099998,58.740002000000004,51.049999,58.27,58.27,169494100
