Date,Open,High,Low,Close,Adj Close,Volume
2019-12-01,5.57,6.65,5.33,6.42,6.42,122955400
2020-01-01,6.52,6.89,6.06,6.1,6.1,85931200
2020-02-01,6.13,6.36,4.95,5.17,5.17,112035800
2020-03-01,5.17,5.22,2.7,4.13,4.13,195511600
2020-04-01,3.4,4.43,3.18,4.28,4.28,124794600
2020-05-01,4.15,4.8,3.97,4.64,4.64,91055100
2020-06-01,4.64,5.84,4.59,4.89,4.89,142716000
2020-07-01,4.85,5.08,4.45,4.74,4.74,71236000
2020-08-01,4.73,5.32,4.66,5.22,5.22,66437300
2020-09-01,5.25,5.66,4.49,4.59,4.59,105388000
