Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,371.73999,372.589996,371.070007,372.170013,368.564636,39000400
2020-12-29,373.809998,374.0,370.829987,371.459991,367.861481,53680500
2020-12-30,372.339996,373.100006,371.570007,371.98999,368.386353,49455300
2020-12-31,371.77999900000003,374.660004,371.230011,373.880005,370.258057,78520700
2021-01-04,375.309998,375.450012,364.820007,368.790009,365.217407,110210800
2021-01-05,368.100006,372.5,368.049988,371.329987,367.732758,66426200
2021-01-06,369.709991,376.980011,369.119995,373.549988,369.931213,107997700
2021-01-07,376.100006,379.899994,375.910004,379.100006,375.427521,68766800
2021-01-08,380.589996,381.48999,377.100006,381.26001,377.566589,71677200
2021-01-11,377.850006,380.579987,377.72000099999997,378.690002,375.021484,51034700
2021-01-12,378.890015,379.859985,376.359985,378.769989,375.100677,52547700
2021-01-13,378.690002,380.859985,377.850006,379.790009,376.11084,45303600
2021-01-14,380.589996,381.130005,378.100006,378.459991,374.793671,49989100
2021-01-15,376.72000099999997,377.579987,373.700012,375.700012,372.060425,107160000
2021-01-19,378.339996,379.230011,376.75,378.649994,374.981842,51233300
2021-01-20,381.109985,384.790009,380.690002,383.890015,380.17108199999996,61836100
2021-01-21,384.48999,384.950012,383.25,384.23999,380.51767,47840100
2021-01-22,382.25,384.130005,381.839996,382.880005,379.17086800000004,52860500
2021-01-25,383.670013,384.769989,378.459991,384.390015,380.66626,70402000
2021-01-26,385.410004,385.850006,383.540009,383.790009,380.072052,42665300
2021-01-27,380.22000099999997,380.320007,372.01001,374.410004,370.78292799999997,123351100
2021-01-28,376.359985,381.929993,375.890015,377.630005,373.971741,94198100
2021-01-29,375.630005,376.670013,368.269989,370.070007,366.484985,126765100
2021-02-01,373.72000099999997,377.339996,370.380005,376.230011,372.585327,75817600
2021-02-02,379.649994,383.22000099999997,376.320007,381.549988,377.85376,64450700
2021-02-03,382.440002,383.700012,380.480011,381.850006,378.150848,52427100
2021-02-04,382.959991,386.23999,381.97000099999997,386.190002,382.44879199999997,47142600
2021-02-05,388.200012,388.47000099999997,386.140015,387.709991,383.954071,48669800
2021-02-08,389.269989,390.559998,388.350006,390.51001,386.72695899999997,38365200
2021-02-09,389.609985,390.890015,389.170013,390.25,386.46948199999997,35551100
2021-02-10,392.119995,392.27999900000003,387.5,390.079987,386.301086,59154400
2021-02-11,391.23999,391.690002,388.100006,390.709991,386.925018,42913300
2021-02-12,389.850006,392.899994,389.769989,392.640015,388.83633399999997,50593300
2021-02-16,393.959991,394.170013,391.52999900000003,392.299988,388.49963399999996,50972400
2021-02-17,390.420013,392.660004,389.329987,392.390015,388.588745,52290600
2021-02-18,389.589996,391.519989,387.73999,390.72000099999997,386.934937,59712800
2021-02-19,392.070007,392.380005,389.549988,390.02999900000003,386.25158700000003,83241000
2021-02-22,387.059998,389.619995,386.73999,387.02999900000003,383.28064,67414200
2021-02-23,384.660004,388.950012,380.200012,387.5,383.74609399999997,107284100
2021-02-24,386.329987,392.230011,385.269989,391.769989,387.974731,72433900
2021-02-25,390.410004,391.880005,380.77999900000003,382.329987,378.62619,146670500
2021-02-26,384.350006,385.579987,378.230011,380.359985,376.67526200000003,152701600
2021-03-01,385.589996,390.920013,380.570007,389.579987,385.805939,105348800
2021-03-02,389.820007,390.070007,386.0,386.540009,382.79544100000004,79595300
2021-03-03,385.790009,386.829987,381.309998,381.420013,377.725037,119940200
2021-03-04,381.22000099999997,384.0,371.880005,376.700012,373.050751,183433000
2021-03-05,380.459991,384.76001,372.640015,383.630005,379.91360499999996,152039600
2021-03-08,384.660004,387.679993,381.420013,381.72000099999997,378.02209500000004,123149200
2021-03-09,385.850006,389.910004,385.309998,387.170013,383.419312,113633600
2021-03-10,389.690002,391.399994,388.170013,389.579987,385.805939,109899400
2021-03-11,392.230011,395.649994,391.73999,393.52999900000003,389.71768199999997,86245000
2021-03-12,392.070007,394.209991,391.200012,394.059998,390.242554,64653600
2021-03-15,394.329987,396.690002,392.02999900000003,396.410004,392.569794,73427200
2021-03-16,397.070007,397.829987,395.079987,395.910004,392.074615,73722500
2021-03-17,394.52999900000003,398.119995,393.299988,397.26001,393.41156,97959300
