ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
SPY,"Aug 26, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,76,10,31,24,40,31,27,448.91,+0.94,+0.21%,At close:  4:00PM EDT
IWM,"Aug 26, 2021",https://finance.yahoo.com/quote/IWM?p=IWM,1,<1,1,0,100,0,0,222.56,+0.78,+0.35%,At close:  4:00PM EDT
XLP,"Aug 26, 2021",https://finance.yahoo.com/quote/XLP?p=XLP,1,<1,1,0,100,0,0,71.86,-0.12,-0.17%,At close:  4:00PM EDT
XLF,"Aug 26, 2021",https://finance.yahoo.com/quote/XLF?p=XLF,1,<1,1,0,100,0,0,38.68,+0.45,+1.18%,At close:  4:00PM EDT
XLK,"Aug 26, 2021",https://finance.yahoo.com/quote/XLK?p=XLK,1,<1,1,0,100,0,0,157.48,-0.09,-0.06%,At close:  4:00PM EDT
XLI,"Aug 26, 2021",https://finance.yahoo.com/quote/XLI?p=XLI,1,<1,1,0,100,0,0,104.66,+0.67,+0.64%,At close:  4:00PM EDT
XLV,"Aug 26, 2021",https://finance.yahoo.com/quote/XLV?p=XLV,1,<1,1,0,100,0,0,135.31,-0.37,-0.27%,At close:  4:00PM EDT
XLE,"Aug 26, 2021",https://finance.yahoo.com/quote/XLE?p=XLE,1,<1,1,0,100,0,0,48.77,+0.37,+0.76%,At close:  4:00PM EDT
XLB,"Aug 26, 2021",https://finance.yahoo.com/quote/XLB?p=XLB,1,<1,1,0,100,0,0,85.42,+0.39,+0.46%,At close:  4:00PM EDT
QQQ,"Aug 26, 2021",https://finance.yahoo.com/quote/QQQ?p=QQQ,3,<1,1,2,33,66,0,374.80,+0.43,+0.11%,At close:  4:00PM EDT
PEG,"Aug 26, 2021",https://finance.yahoo.com/quote/PEG?p=PEG,1,<1,1,0,100,0,0,63.83,+0.02,+0.03%,As of  11:49AM EDT. Market open.
SP,"Aug 26, 2021",https://finance.yahoo.com/quote/SP?p=SP,1,<1,0,1,0,100,0,,,,
META,"Aug 26, 2021",https://finance.yahoo.com/quote/META?p=META,1,<1,1,0,100,0,0,14.31,-0.24,-1.65%,At close:  4:00PM EDT
BARK,"Aug 26, 2021",https://finance.yahoo.com/quote/BARK?p=BARK,1,<1,1,0,100,0,0,7.21,-0.05,-0.69%,At close:  4:00PM EDT
CHWY,"Aug 26, 2021",https://finance.yahoo.com/quote/CHWY?p=CHWY,1,<1,1,0,100,0,0,92.21,+0.11,+0.12%,At close:  4:00PM EDT
NYT,"Aug 26, 2021",https://finance.yahoo.com/quote/NYT?p=NYT,1,<1,1,0,100,0,0,47.78,+0.87,+1.85%,At close:  4:00PM EDT
CLOV,"Aug 26, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,12,1,7,1,58,8,33,8.73,-0.19,-2.13%,At close:  4:00PM EDT
PDT,"Aug 26, 2021",https://finance.yahoo.com/quote/PDT?p=PDT,6,<1,1,4,16,66,16,,,,
AMD,"Aug 26, 2021",https://finance.yahoo.com/quote/AMD?p=AMD,10,1,7,2,70,20,10,108.30,+0.65,+0.60%,At close:  4:00PM EDT
DKNG,"Aug 26, 2021",https://finance.yahoo.com/quote/DKNG?p=DKNG,10,1,3,1,30,10,60,60.11,+3.64,+6.45%,At close:  4:00PM EDT
PLTR,"Aug 26, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,19,2,8,5,42,26,31,24.35,-0.75,-2.99%,At close:  4:00PM EDT
CLNE,"Aug 26, 2021",https://finance.yahoo.com/quote/CLNE?p=CLNE,12,1,7,0,58,0,41,7.81,+0.12,+1.56%,At close:  4:00PM EDT
GME,"Aug 26, 2021",https://finance.yahoo.com/quote/GME?p=GME,74,9,26,27,35,36,28,199.65,-10.64,-5.06%,At close:  4:00PM EDT
SAVA,"Aug 26, 2021",https://finance.yahoo.com/quote/SAVA?p=SAVA,1,<1,0,1,0,100,0,80.86,-36.97,-31.38%,At close:  4:00PM EDT
ASTS,"Aug 26, 2021",https://finance.yahoo.com/quote/ASTS?p=ASTS,40,5,25,6,62,15,22,9.44,0.00,0.00%,At close:  4:00PM EDT
AMC,"Aug 26, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,25,3,6,8,24,32,44,43.96,-0.30,-0.68%,At close:  4:00PM EDT
BB,"Aug 26, 2021",https://finance.yahoo.com/quote/BB?p=BB,21,2,7,4,33,19,47,10.74,-0.36,-3.24%,At close:  4:00PM EDT
BABA,"Aug 26, 2021",https://finance.yahoo.com/quote/BABA?p=BABA,15,2,2,3,13,20,66,169.10,-2.60,-1.51%,At close:  4:00PM EDT
