ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
CL,"Apr 30, 2021",https://finance.yahoo.com/quote/CL?p=CL,1,<1,1,0,100,0,0,79.82,+1.05,+1.33%,At close:  4:00PM EDT
THC,"Apr 30, 2021",https://finance.yahoo.com/quote/THC?p=THC,2,<1,2,0,100,0,0,59.59,+0.65,+1.10%,At close:  4:00PM EDT
TLRY,"Apr 30, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,13,<1,7,1,53,7,38,18.65,-0.67,-3.47%,At close:  4:00PM EDT
APHA,"Apr 30, 2021",https://finance.yahoo.com/quote/APHA?p=APHA,18,1,9,1,50,5,44,15.45,-0.57,-3.56%,At close:  4:00PM EDT
TA,"Apr 30, 2021",https://finance.yahoo.com/quote/TA?p=TA,3,<1,2,0,66,0,33,27.75,+0.27,+0.98%,At close:  4:00PM EDT
CLOV,"Apr 30, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,189,11,72,47,38,24,37,10.17,-0.33,-3.14%,At close:  4:00PM EDT
DCF,"Apr 30, 2021",https://finance.yahoo.com/quote/DCF?p=DCF,2,<1,0,0,0,0,100,9.32,-0.02,-0.21%,At close:  3:59PM EDT
REGN,"Apr 30, 2021",https://finance.yahoo.com/quote/REGN?p=REGN,1,<1,1,0,100,0,0,485.00,-2.77,-0.57%,At close:  4:00PM EDT
FB,"Apr 30, 2021",https://finance.yahoo.com/quote/FB?p=FB,33,1,24,7,72,21,6,329.51,+22.41,+7.30%,At close:  4:00PM EDT
MS,"Apr 30, 2021",https://finance.yahoo.com/quote/MS?p=MS,1,<1,1,0,100,0,0,83.64,+1.26,+1.53%,At close:  4:03PM EDT
GSAT,"Apr 30, 2021",https://finance.yahoo.com/quote/GSAT?p=GSAT,1,<1,0,0,0,0,100,1.2300,-0.0600,-4.65%,At close:  4:00PM EDT
NOK,"Apr 30, 2021",https://finance.yahoo.com/quote/NOK?p=NOK,236,13,104,28,44,11,44,4.6700,+0.4700,+11.19%,At close:  4:04PM EDT
MVIS,"Apr 30, 2021",https://finance.yahoo.com/quote/MVIS?p=MVIS,401,23,163,99,40,24,34,18.00,-2.99,-14.24%,At close:  4:00PM EDT
AAPL,"Apr 30, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,32,1,10,14,31,43,25,133.48,-0.10,-0.07%,At close:  4:00PM EDT
