ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
CLOV,"Jun 08, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,1109,19,403,266,36,23,39,11.92,+2.92,+32.44%,At close:  4:00PM EDT
PHB,"Jun 08, 2021",https://finance.yahoo.com/quote/PHB?p=PHB,1,<1,1,0,100,0,0,19.47,+0.05,+0.26%,At close:  4:00PM EDT
AMC,"Jun 08, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,436,7,241,80,55,18,26,55.00,+7.09,+14.80%,At close:  4:00PM EDT
CLNE,"Jun 08, 2021",https://finance.yahoo.com/quote/CLNE?p=CLNE,556,9,210,88,37,15,46,10.36,+1.05,+11.28%,At close:  4:00PM EDT
SI,"Jun 08, 2021",https://finance.yahoo.com/quote/SI?p=SI,24,<1,11,7,45,29,25,115.44,+2.15,+1.90%,At close:  4:00PM EDT
ASO,"Jun 08, 2021",https://finance.yahoo.com/quote/ASO?p=ASO,91,1,37,16,40,17,41,37.78,+0.66,+1.78%,At close:  4:00PM EDT
EPS,"Jun 08, 2021",https://finance.yahoo.com/quote/EPS?p=EPS,8,<1,4,1,50,12,37,46.26,-0.01,-0.02%,At close:  3:59PM EDT
WKHS,"Jun 08, 2021",https://finance.yahoo.com/quote/WKHS?p=WKHS,140,2,57,16,40,11,47,13.94,+0.89,+6.82%,At close:  4:00PM EDT
PLTR,"Jun 08, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,51,<1,22,10,43,19,37,24.46,+0.43,+1.79%,At close:  4:00PM EDT
APR,"Jun 08, 2021",https://finance.yahoo.com/quote/APR?p=APR,1,<1,1,0,100,0,0,31.05,+0.29,+0.94%,At close:  4:00PM EDT
GME,"Jun 08, 2021",https://finance.yahoo.com/quote/GME?p=GME,451,8,227,95,50,21,28,280.01,+31.65,+12.74%,At close:  4:00PM EDT
WISH,"Jun 08, 2021",https://finance.yahoo.com/quote/WISH?p=WISH,2,<1,2,0,100,0,0,7.76,-0.53,-6.39%,At close:  4:00PM EDT
BB,"Jun 08, 2021",https://finance.yahoo.com/quote/BB?p=BB,1465,26,593,172,40,11,47,15.77,+1.91,+13.78%,At close:  4:00PM EDT
TLRY,"Jun 08, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,127,2,33,8,25,6,67,19.72,+0.92,+4.89%,At close:  4:00PM EDT
SNDL,"Jun 08, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,79,1,27,17,34,21,44,1.1600,+0.0700,+6.42%,At close:  4:00PM EDT
OI,"Jun 08, 2021",https://finance.yahoo.com/quote/OI?p=OI,6,<1,4,0,66,0,33,18.81,-0.43,-2.23%,At close:  4:00PM EDT
ET,"Jun 08, 2021",https://finance.yahoo.com/quote/ET?p=ET,3,<1,1,0,33,0,66,10.91,+0.13,+1.21%,At close:  4:00PM EDT
