ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
GME,"Jan 29, 2021",https://finance.yahoo.com/quote/GME?p=GME,4988,40,2189,1746,43,35,21,324.92,+131.32,+67.83%,As of  10:41AM EST. Market open.
NOK,"Jan 29, 2021",https://finance.yahoo.com/quote/NOK?p=NOK,831,6,261,250,31,30,38,4.9200,+0.2300,+4.90%,As of  10:42AM EST. Market open.
BB,"Jan 29, 2021",https://finance.yahoo.com/quote/BB?p=BB,1018,8,455,182,44,17,37,15.81,+1.16,+7.92%,As of  10:42AM EST. Market open.
AMC,"Jan 29, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,1430,11,537,285,37,19,42,13.03,+4.40,+50.97%,As of  10:42AM EST. Market open.
TV,"Jan 29, 2021",https://finance.yahoo.com/quote/TV?p=TV,24,<1,10,9,41,37,20,8.00,-0.19,-2.32%,As of  10:41AM EST. Market open.
HA,"Jan 29, 2021",https://finance.yahoo.com/quote/HA?p=HA,3,<1,3,0,100,0,0,20.10,-0.53,-2.57%,As of  10:41AM EST. Market open.
ALL,"Jan 29, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,717,5,98,554,13,77,9,108.44,-0.86,-0.79%,As of  10:41AM EST. Market open.
STAY,"Jan 29, 2021",https://finance.yahoo.com/quote/STAY?p=STAY,38,<1,19,19,50,50,0,14.68,-0.42,-2.78%,As of  10:40AM EST. Market open.
ANY,"Jan 29, 2021",https://finance.yahoo.com/quote/ANY?p=ANY,23,<1,12,8,52,34,13,2.3000,+0.2000,+9.52%,As of  10:41AM EST. Market open.
DON,"Jan 29, 2021",https://finance.yahoo.com/quote/DON?p=DON,360,2,309,34,85,9,4,35.90,-0.06,-0.18%,As of  10:40AM EST. Market open.
FT,"Jan 29, 2021",https://finance.yahoo.com/quote/FT?p=FT,4,<1,1,1,25,25,50,7.40,+0.02,+0.27%,As of  10:37AM EST. Market open.
MEN,"Jan 29, 2021",https://finance.yahoo.com/quote/MEN?p=MEN,7,<1,1,4,14,57,28,12.07,-0.01,-0.08%,As of  10:37AM EST. Market open.
SNDL,"Jan 29, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,17,<1,4,4,23,23,52,0.7678,-0.0572,-6.93%,As of  10:42AM EST. Market open.
BEST,"Jan 29, 2021",https://finance.yahoo.com/quote/BEST?p=BEST,9,<1,8,1,88,11,0,2.3420,+0.1020,+4.55%,As of  10:42AM EST. Market open.
BBW,"Jan 29, 2021",https://finance.yahoo.com/quote/BBW?p=BBW,2,<1,1,1,50,50,0,5.81,+0.71,+13.92%,As of  10:42AM EST. Market open.
CARE,"Jan 29, 2021",https://finance.yahoo.com/quote/CARE?p=CARE,8,<1,3,5,37,62,0,10.20,-0.16,-1.54%,As of  9:33AM EST. Market open.
RING,"Jan 29, 2021",https://finance.yahoo.com/quote/RING?p=RING,6,<1,0,6,0,100,0,29.40,+0.56,+1.96%,As of  10:39AM EST. Market open.
WELL,"Jan 29, 2021",https://finance.yahoo.com/quote/WELL?p=WELL,11,<1,10,1,90,9,0,61.48,-0.30,-0.49%,As of  10:42AM EST. Market open.
TD,"Jan 29, 2021",https://finance.yahoo.com/quote/TD?p=TD,287,2,233,23,81,8,10,57.33,-0.32,-0.56%,As of  10:41AM EST. Market open.
TA,"Jan 29, 2021",https://finance.yahoo.com/quote/TA?p=TA,4,<1,3,0,75,0,25,27.52,-0.29,-1.04%,As of  10:31AM EST. Market open.
KIDS,"Jan 29, 2021",https://finance.yahoo.com/quote/KIDS?p=KIDS,3,<1,1,2,33,66,0,46.95,-0.08,-0.17%,As of  10:31AM EST. Market open.
FLY,"Jan 29, 2021",https://finance.yahoo.com/quote/FLY?p=FLY,11,<1,0,3,0,27,72,9.73,-0.21,-2.11%,As of  10:42AM EST. Market open.
AN,"Jan 29, 2021",https://finance.yahoo.com/quote/AN?p=AN,130,1,117,11,90,8,1,72.84,+0.57,+0.79%,As of  10:40AM EST. Market open.
RBC,"Jan 29, 2021",https://finance.yahoo.com/quote/RBC?p=RBC,136,1,131,2,96,1,2,125.97,-0.01,-0.01%,As of  10:41AM EST. Market open.
BMO,"Jan 29, 2021",https://finance.yahoo.com/quote/BMO?p=BMO,132,1,130,0,98,0,1,75.50,-0.36,-0.47%,As of  10:42AM EST. Market open.
IG,"Jan 29, 2021",https://finance.yahoo.com/quote/IG?p=IG,295,2,263,12,89,4,6,27.12,0.00,0.00%,As of  10:32AM EST. Market open.
ING,"Jan 29, 2021",https://finance.yahoo.com/quote/ING?p=ING,121,<1,117,2,96,1,1,8.96,-0.10,-1.10%,As of  10:42AM EST. Market open.
