ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
SNDL,"Feb 11, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,1505,22,456,275,30,18,51,2.9500,+1.3000,+78.79%,At close:  4:00PM EST
APHA,"Feb 11, 2021",https://finance.yahoo.com/quote/APHA?p=APHA,709,10,388,101,54,14,31,26.30,+2.55,+10.74%,At close:  4:00PM EST
TLRY,"Feb 11, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,652,9,344,119,52,18,28,63.91,+21.56,+50.91%,At close:  4:00PM EST
GME,"Feb 11, 2021",https://finance.yahoo.com/quote/GME?p=GME,1502,22,805,435,53,28,17,51.20,+0.89,+1.77%,At close:  4:00PM EST
OGI,"Feb 11, 2021",https://finance.yahoo.com/quote/OGI?p=OGI,56,<1,26,9,46,16,37,6.00,+1.63,+37.30%,At close:  4:00PM EST
HITIF,"Feb 11, 2021",https://finance.yahoo.com/quote/HITIF?p=HITIF,2,<1,1,0,50,0,50,0.7798,-0.0079,-1.00%,At close:  3:59PM EST
CGC,"Feb 11, 2021",https://finance.yahoo.com/quote/CGC?p=CGC,63,<1,44,2,69,3,26,52.17,+3.08,+6.27%,At close:  4:00PM EST
GRWG,"Feb 11, 2021",https://finance.yahoo.com/quote/GRWG?p=GRWG,7,<1,4,2,57,28,14,63.19,-1.39,-2.15%,At close:  4:00PM EST
IIPR,"Feb 11, 2021",https://finance.yahoo.com/quote/IIPR?p=IIPR,4,<1,2,0,50,0,50,210.12,-1.87,-0.88%,At close:  4:00PM EST
ARNA,"Feb 11, 2021",https://finance.yahoo.com/quote/ARNA?p=ARNA,1,<1,0,0,0,0,100,81.93,+0.36,+0.44%,At close:  4:00PM EST
ACB,"Feb 11, 2021",https://finance.yahoo.com/quote/ACB?p=ACB,64,<1,33,15,51,23,25,18.92,+3.31,+21.20%,At close:  4:00PM EST
BB,"Feb 11, 2021",https://finance.yahoo.com/quote/BB?p=BB,205,3,112,54,54,26,19,13.10,-0.33,-2.46%,At close:  4:00PM EST
SLV,"Feb 11, 2021",https://finance.yahoo.com/quote/SLV?p=SLV,10,<1,4,3,40,30,30,25.07,-0.21,-0.83%,At close:  4:00PM EST
ITT,"Feb 11, 2021",https://finance.yahoo.com/quote/ITT?p=ITT,2,<1,0,0,0,0,100,,,,
GOOG,"Feb 11, 2021",https://finance.yahoo.com/quote/GOOG?p=GOOG,4,<1,2,0,50,0,50,"2,095.38",+11.87,+0.57%,At close:  4:00PM EST
