ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
UWMC,"Jun 22, 2021",https://finance.yahoo.com/quote/UWMC?p=UWMC,45,1,26,9,57,20,22,9.13,-0.39,-4.10%,At close:  4:00PM EDT
BB,"Jun 22, 2021",https://finance.yahoo.com/quote/BB?p=BB,591,16,244,83,41,14,44,12.80,-0.10,-0.78%,At close:  4:00PM EDT
CLOV,"Jun 22, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,203,5,110,26,54,12,33,11.24,-0.80,-6.64%,At close:  4:00PM EDT
TA,"Jun 22, 2021",https://finance.yahoo.com/quote/TA?p=TA,21,<1,10,4,47,19,33,28.67,+0.18,+0.63%,At close:  4:00PM EDT
WISH,"Jun 22, 2021",https://finance.yahoo.com/quote/WISH?p=WISH,824,22,634,65,76,7,15,13.50,+2.10,+18.42%,At close:  4:00PM EDT
H,"Jun 22, 2021",https://finance.yahoo.com/quote/H?p=H,11,<1,4,2,36,18,45,82.81,+2.79,+3.49%,At close:  4:00PM EDT
GME,"Jun 22, 2021",https://finance.yahoo.com/quote/GME?p=GME,282,7,150,48,53,17,29,200.37,-13.45,-6.29%,At close:  4:00PM EDT
OCGN,"Jun 22, 2021",https://finance.yahoo.com/quote/OCGN?p=OCGN,13,<1,5,5,38,38,23,7.40,+0.83,+12.63%,At close:  4:00PM EDT
RC,"Jun 22, 2021",https://finance.yahoo.com/quote/RC?p=RC,4,<1,2,0,50,0,50,16.29,+0.40,+2.52%,At close:  4:00PM EDT
DON,"Jun 22, 2021",https://finance.yahoo.com/quote/DON?p=DON,2,<1,1,0,50,0,50,41.92,+1.09,+2.67%,At close:  4:00PM EDT
AMC,"Jun 22, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,262,7,128,55,48,20,30,55.69,-3.57,-6.02%,At close:  4:00PM EDT
FAST,"Jun 22, 2021",https://finance.yahoo.com/quote/FAST?p=FAST,1,<1,1,0,100,0,0,51.46,+0.75,+1.48%,At close:  4:00PM EDT
NSC,"Jun 22, 2021",https://finance.yahoo.com/quote/NSC?p=NSC,1,<1,1,0,100,0,0,264.76,+3.33,+1.27%,At close:  4:02PM EDT
OG,"Jun 22, 2021",https://finance.yahoo.com/quote/OG?p=OG,16,<1,10,1,62,6,31,3.8500,-0.2500,-6.10%,At close:  4:00PM EDT
REAL,"Jun 22, 2021",https://finance.yahoo.com/quote/REAL?p=REAL,3,<1,1,0,33,0,66,20.61,+0.95,+4.83%,At close:  4:00PM EDT
BBUBAS,"Jun 22, 2021",https://finance.yahoo.com/quote/BBUBAS?p=BBUBAS,1,<1,1,0,100,0,0,,,,
BOUT,"Jun 22, 2021",https://finance.yahoo.com/quote/BOUT?p=BOUT,2,<1,0,0,0,0,100,32.64,+0.55,+1.71%,At close:  3:58PM EDT
ADF,"Jun 22, 2021",https://finance.yahoo.com/quote/ADF?p=ADF,1,<1,0,1,0,100,0,9.80,+0.02,+0.20%,At close:  3:29PM EDT
CLNE,"Jun 22, 2021",https://finance.yahoo.com/quote/CLNE?p=CLNE,199,5,86,36,43,18,38,11.24,-0.54,-4.58%,At close:  4:00PM EDT
GL,"Jun 22, 2021",https://finance.yahoo.com/quote/GL?p=GL,5,<1,5,0,100,0,0,95.70,+3.45,+3.74%,At close:  4:00PM EDT
WOW,"Jun 22, 2021",https://finance.yahoo.com/quote/WOW?p=WOW,3,<1,3,0,100,0,0,17.27,+0.64,+3.85%,At close:  4:00PM EDT
NOK,"Jun 22, 2021",https://finance.yahoo.com/quote/NOK?p=NOK,11,<1,3,3,27,27,45,5.10,0.00,0.00%,At close:  4:04PM EDT
PAY,"Jun 22, 2021",https://finance.yahoo.com/quote/PAY?p=PAY,1,<1,0,1,0,100,0,30.20,+0.94,+3.21%,At close:  4:00PM EDT
RBLX,"Jun 22, 2021",https://finance.yahoo.com/quote/RBLX?p=RBLX,1,<1,0,0,0,0,100,82.51,+1.37,+1.69%,At close:  4:00PM EDT
TD,"Jun 22, 2021",https://finance.yahoo.com/quote/TD?p=TD,7,<1,3,3,42,42,14,70.91,+0.90,+1.29%,At close:  4:00PM EDT
WKHS,"Jun 22, 2021",https://finance.yahoo.com/quote/WKHS?p=WKHS,56,1,28,7,50,12,37,14.54,-0.33,-2.22%,At close:  4:00PM EDT
TLRY,"Jun 22, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,59,1,24,5,40,8,50,17.37,+0.46,+2.72%,At close:  4:00PM EDT
