ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
EPS,"Aug 06, 2021",https://finance.yahoo.com/quote/EPS?p=EPS,1,<1,1,0,100,0,0,,,,
VIAC,"Aug 06, 2021",https://finance.yahoo.com/quote/VIAC?p=VIAC,21,2,17,3,80,14,4,41.55,+2.76,+7.12%,At close:  4:00PM EDT
NFLX,"Aug 06, 2021",https://finance.yahoo.com/quote/NFLX?p=NFLX,2,<1,2,0,100,0,0,524.89,+7.54,+1.46%,At close:  4:00PM EDT
MVST,"Aug 06, 2021",https://finance.yahoo.com/quote/MVST?p=MVST,166,16,61,34,36,20,42,10.47,+1.79,+20.62%,At close:  4:00PM EDT
AMC,"Aug 06, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,52,5,24,19,46,36,17,33.51,+3.67,+12.30%,At close:  4:00PM EDT
AMD,"Aug 06, 2021",https://finance.yahoo.com/quote/AMD?p=AMD,33,3,17,7,51,21,27,112.35,-6.42,-5.41%,At close:  4:00PM EDT
MCFE,"Aug 06, 2021",https://finance.yahoo.com/quote/MCFE?p=MCFE,34,3,15,8,44,23,32,29.66,+1.05,+3.67%,At close:  4:00PM EDT
CLOV,"Aug 06, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,10,<1,4,3,40,30,30,8.13,+0.21,+2.65%,At close:  4:00PM EDT
SPY,"Aug 06, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,72,6,22,19,30,26,43,441.76,+2.78,+0.63%,At close:  4:00PM EDT
GME,"Aug 06, 2021",https://finance.yahoo.com/quote/GME?p=GME,49,4,23,10,46,20,32,153.44,+6.64,+4.52%,At close:  4:00PM EDT
PLUG,"Aug 06, 2021",https://finance.yahoo.com/quote/PLUG?p=PLUG,10,<1,2,0,20,0,80,26.00,+0.11,+0.42%,At close:  4:00PM EDT
DKNG,"Aug 06, 2021",https://finance.yahoo.com/quote/DKNG?p=DKNG,41,3,13,8,31,19,48,50.48,+1.81,+3.72%,At close:  4:00PM EDT
CRSR,"Aug 06, 2021",https://finance.yahoo.com/quote/CRSR?p=CRSR,3,<1,2,1,66,33,0,28.33,+0.93,+3.39%,At close:  4:00PM EDT
GL,"Aug 06, 2021",https://finance.yahoo.com/quote/GL?p=GL,1,<1,1,0,100,0,0,,,,
AMZN,"Aug 06, 2021",https://finance.yahoo.com/quote/AMZN?p=AMZN,3,<1,2,0,66,0,33,"3,375.99",+21.27,+0.63%,At close:  4:00PM EDT
MS,"Aug 06, 2021",https://finance.yahoo.com/quote/MS?p=MS,5,<1,5,0,100,0,0,97.83,+1.54,+1.60%,At close:  4:03PM EDT
MVIS,"Aug 06, 2021",https://finance.yahoo.com/quote/MVIS?p=MVIS,13,1,7,3,53,23,23,13.76,+1.54,+12.60%,At close:  4:00PM EDT
UP,"Aug 06, 2021",https://finance.yahoo.com/quote/UP?p=UP,4,<1,1,1,25,25,50,7.80,+0.01,+0.13%,As of  9:58AM EDT. Market open.
SC,"Aug 06, 2021",https://finance.yahoo.com/quote/SC?p=SC,2,<1,1,0,50,0,50,40.86,+0.09,+0.22%,At close:  4:00PM EDT
TX,"Aug 06, 2021",https://finance.yahoo.com/quote/TX?p=TX,5,<1,5,0,100,0,0,49.77,+0.79,+1.61%,As of  3:57PM EDT. Market open.
FSR,"Aug 06, 2021",https://finance.yahoo.com/quote/FSR?p=FSR,16,1,9,1,56,6,37,15.53,+0.76,+5.15%,At close:  4:00PM EDT
HOOD,"Aug 06, 2021",https://finance.yahoo.com/quote/HOOD?p=HOOD,66,6,32,11,48,16,34,50.97,-19.42,-27.59%,At close:  4:00PM EDT
ALL,"Aug 06, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,4,<1,2,1,50,25,25,128.93,-1.78,-1.36%,At close:  4:00PM EDT
THC,"Aug 06, 2021",https://finance.yahoo.com/quote/THC?p=THC,2,<1,1,0,50,0,50,71.63,+1.63,+2.33%,At close:  4:00PM EDT
JOBS,"Aug 06, 2021",https://finance.yahoo.com/quote/JOBS?p=JOBS,6,<1,1,1,16,16,66,,,,
IGT,"Aug 06, 2021",https://finance.yahoo.com/quote/IGT?p=IGT,9,<1,3,0,33,0,66,18.78,+0.67,+3.73%,As of  2:12PM EDT. Market open.
CLF,"Aug 06, 2021",https://finance.yahoo.com/quote/CLF?p=CLF,6,<1,2,0,33,0,66,23.32,-0.38,-1.60%,At close:  4:00PM EDT
AAPL,"Aug 06, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,11,1,1,2,9,18,72,147.06,+0.11,+0.07%,At close:  4:00PM EDT
LCID,"Aug 06, 2021",https://finance.yahoo.com/quote/LCID?p=LCID,1,<1,0,0,0,0,100,22.75,+0.12,+0.53%,At close:  4:00PM EDT
ME,"Aug 06, 2021",https://finance.yahoo.com/quote/ME?p=ME,2,<1,1,1,50,50,0,8.65,-0.03,-0.35%,At close:  4:00PM EDT
MO,"Aug 06, 2021",https://finance.yahoo.com/quote/MO?p=MO,1,<1,1,0,100,0,0,47.36,+0.33,+0.70%,At close:  4:04PM EDT
PSFE,"Aug 06, 2021",https://finance.yahoo.com/quote/PSFE?p=PSFE,4,<1,0,2,0,50,50,10.29,+0.02,+0.19%,At close:  4:00PM EDT
BABA,"Aug 06, 2021",https://finance.yahoo.com/quote/BABA?p=BABA,2,<1,0,1,0,50,50,199.28,-1.43,-0.71%,At close:  4:00PM EDT
TSLA,"Aug 06, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,4,<1,1,1,25,25,50,714.63,+3.71,+0.52%,At close:  4:00PM EDT
ROKU,"Aug 06, 2021",https://finance.yahoo.com/quote/ROKU?p=ROKU,2,<1,2,0,100,0,0,403.48,-16.84,-4.01%,At close:  4:00PM EDT
SHE,"Aug 06, 2021",https://finance.yahoo.com/quote/SHE?p=SHE,1,<1,1,0,100,0,0,,,,
SENS,"Aug 06, 2021",https://finance.yahoo.com/quote/SENS?p=SENS,1,<1,0,1,0,100,0,3.1400,+0.1100,+3.63%,At close:  4:00PM EDT
EBON,"Aug 06, 2021",https://finance.yahoo.com/quote/EBON?p=EBON,2,<1,0,1,0,50,50,2.4200,+0.1700,+7.56%,At close:  4:00PM EDT
BRO,"Aug 06, 2021",https://finance.yahoo.com/quote/BRO?p=BRO,1,<1,1,0,100,0,0,54.10,-0.68,-1.24%,At close:  4:00PM EDT
SQ,"Aug 06, 2021",https://finance.yahoo.com/quote/SQ?p=SQ,3,<1,0,0,0,0,100,281.81,+15.39,+5.78%,At close:  4:00PM EDT
GT,"Aug 06, 2021",https://finance.yahoo.com/quote/GT?p=GT,1,<1,1,0,100,0,0,14.97,-0.74,-4.71%,At close:  4:00PM EDT
DOW,"Aug 06, 2021",https://finance.yahoo.com/quote/DOW?p=DOW,1,<1,0,0,0,0,100,61.00,+0.01,+0.02%,At close:  4:00PM EDT
TDC,"Aug 06, 2021",https://finance.yahoo.com/quote/TDC?p=TDC,1,<1,0,0,0,0,100,50.64,+0.79,+1.58%,At close:  4:00PM EDT
COF,"Aug 06, 2021",https://finance.yahoo.com/quote/COF?p=COF,1,<1,0,0,0,0,100,163.19,+2.00,+1.24%,At close:  4:00PM EDT
ATNF,"Aug 06, 2021",https://finance.yahoo.com/quote/ATNF?p=ATNF,1,<1,1,0,100,0,0,7.29,+0.12,+1.67%,At close:  4:00PM EDT
CGC,"Aug 06, 2021",https://finance.yahoo.com/quote/CGC?p=CGC,1,<1,1,0,100,0,0,19.14,+0.86,+4.70%,At close:  4:00PM EDT
CRSP,"Aug 06, 2021",https://finance.yahoo.com/quote/CRSP?p=CRSP,2,<1,0,0,0,0,100,133.49,+8.88,+7.13%,At close:  4:00PM EDT
