ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
AMD,"May 04, 2021",https://finance.yahoo.com/quote/AMD?p=AMD,113,7,51,39,45,34,20,78.55,-3.07,-3.76%,At close:  4:00PM EDT
SNDL,"May 04, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,5,<1,1,2,20,40,40,0.8278,-0.0357,-4.13%,At close:  4:00PM EDT
CRSR,"May 04, 2021",https://finance.yahoo.com/quote/CRSR?p=CRSR,20,1,10,2,50,10,40,33.44,+0.26,+0.78%,At close:  4:00PM EDT
GME,"May 04, 2021",https://finance.yahoo.com/quote/GME?p=GME,112,7,47,30,41,26,31,162.20,-11.39,-6.56%,At close:  4:00PM EDT
BP,"May 04, 2021",https://finance.yahoo.com/quote/BP?p=BP,3,<1,3,0,100,0,0,25.69,+0.53,+2.11%,At close:  4:00PM EDT
NOK,"May 04, 2021",https://finance.yahoo.com/quote/NOK?p=NOK,118,7,51,24,43,20,36,4.9100,+0.2300,+4.91%,At close:  4:00PM EDT
RKT,"May 04, 2021",https://finance.yahoo.com/quote/RKT?p=RKT,142,9,97,12,68,8,23,22.50,+0.05,+0.22%,At close:  4:00PM EDT
CLOV,"May 04, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,88,5,32,14,36,15,47,9.29,-0.56,-5.69%,At close:  4:00PM EDT
ACB,"May 04, 2021",https://finance.yahoo.com/quote/ACB?p=ACB,10,<1,1,5,10,50,40,8.68,-0.26,-2.91%,At close:  4:00PM EDT
OI,"May 04, 2021",https://finance.yahoo.com/quote/OI?p=OI,2,<1,1,0,50,0,50,16.87,+0.38,+2.30%,At close:  4:00PM EDT
TLRY,"May 04, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,10,<1,4,1,40,10,50,17.02,-1.32,-7.20%,At close:  4:00PM EDT
PLTR,"May 04, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,91,5,33,34,36,37,26,22.30,-0.74,-3.21%,At close:  4:00PM EDT
MSFT,"May 04, 2021",https://finance.yahoo.com/quote/MSFT?p=MSFT,15,<1,5,3,33,20,46,251.86,-0.32,-0.13%,At close:  4:00PM EDT
ICLN,"May 04, 2021",https://finance.yahoo.com/quote/ICLN?p=ICLN,11,<1,5,3,45,27,27,22.91,-0.33,-1.42%,At close:  4:00PM EDT
BB,"May 04, 2021",https://finance.yahoo.com/quote/BB?p=BB,11,<1,2,6,18,54,27,8.61,-0.22,-2.49%,At close:  4:00PM EDT
