ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
NOK,"Feb 04, 2021",https://finance.yahoo.com/quote/NOK?p=NOK,115,3,47,30,40,26,33,4.7000,+0.1700,+3.75%,At close:  4:00PM EST
GME,"Feb 04, 2021",https://finance.yahoo.com/quote/GME?p=GME,1669,49,876,494,52,29,17,92.41,+2.41,+2.68%,At close:  4:00PM EST
CRSR,"Feb 04, 2021",https://finance.yahoo.com/quote/CRSR?p=CRSR,16,<1,8,4,50,25,25,42.84,+4.55,+11.88%,At close:  4:00PM EST
ELY,"Feb 04, 2021",https://finance.yahoo.com/quote/ELY?p=ELY,2,<1,1,0,50,0,50,29.48,+0.97,+3.40%,At close:  4:00PM EST
BABA,"Feb 04, 2021",https://finance.yahoo.com/quote/BABA?p=BABA,3,<1,1,1,33,33,33,263.43,+8.93,+3.51%,At close:  4:00PM EST
OI,"Feb 04, 2021",https://finance.yahoo.com/quote/OI?p=OI,3,<1,0,0,0,0,100,13.27,-0.25,-1.85%,At close:  4:00PM EST
DKNG,"Feb 04, 2021",https://finance.yahoo.com/quote/DKNG?p=DKNG,5,<1,4,0,80,0,20,60.11,+0.80,+1.35%,At close:  4:00PM EST
PLAY,"Feb 04, 2021",https://finance.yahoo.com/quote/PLAY?p=PLAY,1,<1,0,1,0,100,0,36.66,+2.79,+8.24%,At close:  4:00PM EST
FOLD,"Feb 04, 2021",https://finance.yahoo.com/quote/FOLD?p=FOLD,1,<1,0,1,0,100,0,20.00,-0.13,-0.65%,At close:  4:00PM EST
XL,"Feb 04, 2021",https://finance.yahoo.com/quote/XL?p=XL,5,<1,2,2,40,40,20,19.62,-0.53,-2.63%,At close:  4:00PM EST
MSM,"Feb 04, 2021",https://finance.yahoo.com/quote/MSM?p=MSM,4,<1,2,2,50,50,0,81.85,+1.08,+1.34%,At close:  4:00PM EST
AMC,"Feb 04, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,453,13,211,108,46,23,29,8.97,+1.15,+14.71%,At close:  4:00PM EST
DVD,"Feb 04, 2021",https://finance.yahoo.com/quote/DVD?p=DVD,1,<1,1,0,100,0,0,2.1600,+0.0100,+0.47%,At close:  4:00PM EST
BLIAQ,"Feb 04, 2021",https://finance.yahoo.com/quote/BLIAQ?p=BLIAQ,63,1,49,0,77,0,22,0.0340,0.0000,0.00%,At close:  3:59PM EST
AA,"Feb 04, 2021",https://finance.yahoo.com/quote/AA?p=AA,1,<1,0,1,0,100,0,19.90,+0.79,+4.13%,At close:  4:00PM EST
CLOV,"Feb 04, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,12,<1,3,3,25,25,50,13.95,-0.02,-0.14%,At close:  4:00PM EST
SI,"Feb 04, 2021",https://finance.yahoo.com/quote/SI?p=SI,54,1,19,14,35,25,38,109.51,+1.10,+1.01%,At close:  4:00PM EST
LOW,"Feb 04, 2021",https://finance.yahoo.com/quote/LOW?p=LOW,5,<1,0,5,0,100,0,169.88,+3.22,+1.93%,At close:  4:03PM EST
TSLA,"Feb 04, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,26,<1,15,6,57,23,19,854.69,-18.10,-2.07%,At close:  4:00PM EST
TD,"Feb 04, 2021",https://finance.yahoo.com/quote/TD?p=TD,23,<1,7,11,30,47,21,58.03,+0.27,+0.47%,At close:  4:00PM EST
TDA,"Feb 04, 2021",https://finance.yahoo.com/quote/TDA?p=TDA,5,<1,4,1,80,20,0,25.15,+0.05,+0.18%,At close:  4:00PM EST
SLV,"Feb 04, 2021",https://finance.yahoo.com/quote/SLV?p=SLV,28,<1,6,9,21,32,46,24.93,+0.39,+1.59%,At close:  4:00PM EST
JPM,"Feb 04, 2021",https://finance.yahoo.com/quote/JPM?p=JPM,7,<1,1,2,14,28,57,135.14,+1.53,+1.15%,At close:  4:00PM EST
BBBY,"Feb 04, 2021",https://finance.yahoo.com/quote/BBBY?p=BBBY,2,<1,0,2,0,100,0,28.02,+2.64,+10.40%,At close:  4:00PM EST
SEARS,"Feb 04, 2021",https://finance.yahoo.com/quote/SEARS?p=SEARS,3,<1,0,1,0,33,66,,,,
AAPL,"Feb 04, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,13,<1,6,6,46,46,7,133.94,-1.05,-0.78%,At close:  4:00PM EST
AG,"Feb 04, 2021",https://finance.yahoo.com/quote/AG?p=AG,5,<1,5,0,100,0,0,16.38,-0.38,-2.27%,At close:  4:00PM EST
BB,"Feb 04, 2021",https://finance.yahoo.com/quote/BB?p=BB,118,3,67,23,56,19,23,12.00,+0.45,+3.90%,At close:  4:00PM EST
BEST,"Feb 04, 2021",https://finance.yahoo.com/quote/BEST?p=BEST,3,<1,2,1,66,33,0,2.4600,+0.1000,+4.24%,At close:  4:00PM EST
TV,"Feb 04, 2021",https://finance.yahoo.com/quote/TV?p=TV,9,<1,7,2,77,22,0,8.01,+0.06,+0.75%,At close:  4:00PM EST
RSI,"Feb 04, 2021",https://finance.yahoo.com/quote/RSI?p=RSI,4,<1,3,1,75,25,0,20.33,-0.64,-3.05%,At close:  4:00PM EST
TA,"Feb 04, 2021",https://finance.yahoo.com/quote/TA?p=TA,2,<1,1,1,50,50,0,31.82,+2.27,+7.68%,At close:  4:00PM EST
AI,"Feb 04, 2021",https://finance.yahoo.com/quote/AI?p=AI,4,<1,3,1,75,25,0,147.05,+0.17,+0.12%,At close:  4:00PM EST
S,"Feb 04, 2021",https://finance.yahoo.com/quote/S?p=S,1,<1,0,0,0,0,100,,,,
GL,"Feb 04, 2021",https://finance.yahoo.com/quote/GL?p=GL,5,<1,5,0,100,0,0,90.84,-1.74,-1.88%,At close:  4:00PM EST
CCIV,"Feb 04, 2021",https://finance.yahoo.com/quote/CCIV?p=CCIV,3,<1,1,0,33,0,66,29.49,-2.65,-8.25%,At close:  4:00PM EST
NIO,"Feb 04, 2021",https://finance.yahoo.com/quote/NIO?p=NIO,21,<1,16,3,76,14,9,57.98,+2.21,+3.96%,At close:  4:00PM EST
QS,"Feb 04, 2021",https://finance.yahoo.com/quote/QS?p=QS,2,<1,0,0,0,0,100,46.82,+4.24,+9.96%,At close:  4:00PM EST
FLIR,"Feb 04, 2021",https://finance.yahoo.com/quote/FLIR?p=FLIR,1,<1,0,1,0,100,0,54.12,-0.10,-0.18%,At close:  4:00PM EST
KR,"Feb 04, 2021",https://finance.yahoo.com/quote/KR?p=KR,1,<1,0,1,0,100,0,33.96,+0.86,+2.60%,At close:  4:00PM EST
RKT,"Feb 04, 2021",https://finance.yahoo.com/quote/RKT?p=RKT,4,<1,2,2,50,50,0,21.21,+0.27,+1.29%,At close:  4:00PM EST
AGFY,"Feb 04, 2021",https://finance.yahoo.com/quote/AGFY?p=AGFY,1,<1,0,0,0,0,100,18.80,+4.60,+32.39%,At close:  4:00PM EST
GRWG,"Feb 04, 2021",https://finance.yahoo.com/quote/GRWG?p=GRWG,3,<1,3,0,100,0,0,55.72,+4.67,+9.15%,At close:  4:00PM EST
CAR,"Feb 04, 2021",https://finance.yahoo.com/quote/CAR?p=CAR,1,<1,0,0,0,0,100,41.24,+0.65,+1.60%,At close:  4:00PM EST
NVMI,"Feb 04, 2021",https://finance.yahoo.com/quote/NVMI?p=NVMI,1,<1,1,0,100,0,0,75.48,+0.88,+1.18%,At close:  4:00PM EST
APHA,"Feb 04, 2021",https://finance.yahoo.com/quote/APHA?p=APHA,32,<1,27,2,84,6,9,16.60,+1.86,+12.62%,At close:  4:00PM EST
