ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
UWMC,"Mar 17, 2021",https://finance.yahoo.com/quote/UWMC?p=UWMC,105,3,60,24,57,22,20,8.46,+0.06,+0.71%,At close:  4:00PM EDT
GME,"Mar 17, 2021",https://finance.yahoo.com/quote/GME?p=GME,1342,41,664,361,49,26,23,208.17,-11.97,-5.44%,At close:  4:00PM EDT
ST,"Mar 17, 2021",https://finance.yahoo.com/quote/ST?p=ST,5,<1,3,1,60,20,20,63.13,-0.72,-1.13%,At close:  4:00PM EDT
ALL,"Mar 17, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,39,1,24,9,61,23,15,115.84,-1.43,-1.22%,At close:  4:00PM EDT
AN,"Mar 17, 2021",https://finance.yahoo.com/quote/AN?p=AN,6,<1,2,0,33,0,66,89.56,+1.73,+1.97%,At close:  4:00PM EDT
DECK,"Mar 17, 2021",https://finance.yahoo.com/quote/DECK?p=DECK,1,<1,0,0,0,0,100,338.70,-4.65,-1.35%,At close:  4:00PM EDT
BBY,"Mar 17, 2021",https://finance.yahoo.com/quote/BBY?p=BBY,1,<1,1,0,100,0,0,113.45,-0.47,-0.41%,At close:  4:00PM EDT
TM,"Mar 17, 2021",https://finance.yahoo.com/quote/TM?p=TM,2,<1,1,0,50,0,50,152.10,-0.80,-0.52%,At close:  4:00PM EDT
REAL,"Mar 17, 2021",https://finance.yahoo.com/quote/REAL?p=REAL,5,<1,2,1,40,20,40,24.23,-0.17,-0.70%,At close:  4:00PM EDT
LL,"Mar 17, 2021",https://finance.yahoo.com/quote/LL?p=LL,1,<1,1,0,100,0,0,25.76,-0.78,-2.94%,At close:  4:00PM EDT
BOUT,"Mar 17, 2021",https://finance.yahoo.com/quote/BOUT?p=BOUT,2,<1,1,1,50,50,0,35.51,-0.31,-0.87%,At close:  4:00PM EDT
TOWN,"Mar 17, 2021",https://finance.yahoo.com/quote/TOWN?p=TOWN,1,<1,1,0,100,0,0,31.33,-0.24,-0.78%,At close:  4:00PM EDT
FOLD,"Mar 17, 2021",https://finance.yahoo.com/quote/FOLD?p=FOLD,3,<1,0,2,0,66,33,10.50,-0.30,-2.78%,At close:  4:00PM EDT
YI,"Mar 17, 2021",https://finance.yahoo.com/quote/YI?p=YI,1,<1,0,1,0,100,0,17.94,-1.17,-6.12%,At close:  4:00PM EDT
HA,"Mar 17, 2021",https://finance.yahoo.com/quote/HA?p=HA,4,<1,0,1,0,25,75,27.83,-1.23,-4.23%,At close:  4:00PM EDT
AMC,"Mar 17, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,411,12,215,73,52,17,29,13.02,-1.02,-7.26%,At close:  4:00PM EDT
PSEC,"Mar 17, 2021",https://finance.yahoo.com/quote/PSEC?p=PSEC,3,<1,1,0,33,0,66,7.68,0.00,0.00%,At close:  4:00PM EDT
PSA,"Mar 17, 2021",https://finance.yahoo.com/quote/PSA?p=PSA,4,<1,2,0,50,0,50,245.33,+2.85,+1.18%,At close:  4:00PM EDT
SPY,"Mar 17, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,44,1,11,21,25,47,27,395.91,-0.50,-0.13%,At close:  4:00PM EDT
FUTU,"Mar 17, 2021",https://finance.yahoo.com/quote/FUTU?p=FUTU,1,<1,1,0,100,0,0,142.22,-6.14,-4.14%,At close:  4:00PM EDT
EYES,"Mar 17, 2021",https://finance.yahoo.com/quote/EYES?p=EYES,2,<1,1,0,50,0,50,13.20,-1.69,-11.35%,At close:  4:00PM EDT
ET,"Mar 17, 2021",https://finance.yahoo.com/quote/ET?p=ET,7,<1,4,1,57,14,28,8.09,-0.22,-2.65%,At close:  4:00PM EDT
QQQ,"Mar 17, 2021",https://finance.yahoo.com/quote/QQQ?p=QQQ,4,<1,3,1,75,25,0,320.58,+1.75,+0.55%,At close:  4:00PM EDT
INFLTN,"Mar 17, 2021",https://finance.yahoo.com/quote/INFLTN?p=INFLTN,1,<1,1,0,100,0,0,,,,
IRS,"Mar 17, 2021",https://finance.yahoo.com/quote/IRS?p=IRS,11,<1,1,6,9,54,36,4.0600,-0.2800,-6.45%,At close:  4:00PM EDT
AGI,"Mar 17, 2021",https://finance.yahoo.com/quote/AGI?p=AGI,1,<1,0,0,0,0,100,7.92,-0.09,-1.06%,At close:  4:00PM EDT
BA,"Mar 17, 2021",https://finance.yahoo.com/quote/BA?p=BA,5,<1,2,2,40,40,20,255.21,-10.42,-3.92%,At close:  4:00PM EDT
PLUG,"Mar 17, 2021",https://finance.yahoo.com/quote/PLUG?p=PLUG,29,<1,12,10,41,34,24,42.68,-3.78,-8.14%,At close:  4:00PM EDT
VXX,"Mar 17, 2021",https://finance.yahoo.com/quote/VXX?p=VXX,10,<1,3,4,30,40,30,13.16,0.00,0.00%,At close:  4:00PM EDT
DB,"Mar 17, 2021",https://finance.yahoo.com/quote/DB?p=DB,1,<1,1,0,100,0,0,12.38,-0.12,-0.96%,At close:  4:00PM EDT
TSLA,"Mar 17, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,46,1,17,20,36,43,19,676.88,-31.06,-4.39%,At close:  4:00PM EDT
PLTR,"Mar 17, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,93,2,40,22,43,23,33,25.61,-1.18,-4.40%,At close:  4:00PM EDT
GE,"Mar 17, 2021",https://finance.yahoo.com/quote/GE?p=GE,3,<1,0,1,0,33,66,13.15,-0.20,-1.50%,At close:  4:00PM EDT
CO,"Mar 17, 2021",https://finance.yahoo.com/quote/CO?p=CO,4,<1,1,1,25,25,50,4.6700,+0.0900,+1.97%,At close:  4:00PM EDT
LIFE,"Mar 17, 2021",https://finance.yahoo.com/quote/LIFE?p=LIFE,6,<1,3,3,50,50,0,6.14,+1.28,+26.34%,At close:  4:00PM EDT
APHA,"Mar 17, 2021",https://finance.yahoo.com/quote/APHA?p=APHA,19,<1,10,2,52,10,36,20.22,-1.95,-8.78%,At close:  4:00PM EDT
