ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
NNOX,"Aug 23, 2021",https://finance.yahoo.com/quote/NNOX?p=NNOX,1,<1,0,0,0,0,100,22.57,+1.14,+5.32%,At close:  4:00PM EDT
PFE,"Aug 23, 2021",https://finance.yahoo.com/quote/PFE?p=PFE,41,9,10,7,24,17,58,48.72,-0.08,-0.16%,At close:  4:02PM EDT
TRIL,"Aug 23, 2021",https://finance.yahoo.com/quote/TRIL?p=TRIL,3,<1,1,1,33,33,33,6.09,+0.23,+3.92%,At close:  4:00PM EDT
AMRN,"Aug 23, 2021",https://finance.yahoo.com/quote/AMRN?p=AMRN,4,<1,2,1,50,25,25,5.39,-0.02,-0.37%,At close:  4:00PM EDT
GME,"Aug 23, 2021",https://finance.yahoo.com/quote/GME?p=GME,13,2,6,3,46,23,30,159.30,+6.40,+4.19%,At close:  4:00PM EDT
BABA,"Aug 23, 2021",https://finance.yahoo.com/quote/BABA?p=BABA,12,2,5,4,41,33,25,157.96,-2.59,-1.61%,At close:  4:00PM EDT
AMC,"Aug 23, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,29,6,17,8,58,27,13,34.41,+0.59,+1.74%,At close:  4:00PM EDT
CLOV,"Aug 23, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,3,<1,0,2,0,66,33,7.75,+0.19,+2.51%,At close:  4:00PM EDT
BILI,"Aug 23, 2021",https://finance.yahoo.com/quote/BILI?p=BILI,1,<1,0,0,0,0,100,66.54,+2.21,+3.44%,At close:  4:00PM EDT
GOCO,"Aug 23, 2021",https://finance.yahoo.com/quote/GOCO?p=GOCO,1,<1,0,1,0,100,0,4.5700,-0.3500,-7.11%,At close:  4:00PM EDT
CENT,"Aug 23, 2021",https://finance.yahoo.com/quote/CENT?p=CENT,1,<1,0,1,0,100,0,,,,
BILL,"Aug 23, 2021",https://finance.yahoo.com/quote/BILL?p=BILL,1,<1,0,1,0,100,0,209.35,+3.44,+1.67%,At close:  4:00PM EDT
CLNE,"Aug 23, 2021",https://finance.yahoo.com/quote/CLNE?p=CLNE,1,<1,0,1,0,100,0,6.80,+0.18,+2.72%,At close:  4:00PM EDT
SPY,"Aug 23, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,46,10,18,14,39,30,30,443.36,+3.50,+0.80%,At close:  4:00PM EDT
SOFI,"Aug 23, 2021",https://finance.yahoo.com/quote/SOFI?p=SOFI,6,1,3,0,50,0,50,14.04,+0.22,+1.59%,At close:  4:00PM EDT
IWM,"Aug 23, 2021",https://finance.yahoo.com/quote/IWM?p=IWM,4,<1,2,1,50,25,25,215.52,+3.58,+1.69%,At close:  4:00PM EDT
NVDA,"Aug 23, 2021",https://finance.yahoo.com/quote/NVDA?p=NVDA,18,4,6,2,33,11,55,208.16,+10.18,+5.14%,At close:  4:00PM EDT
PLTR,"Aug 23, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,6,1,1,1,16,16,66,24.01,-0.15,-0.62%,At close:  4:00PM EDT
WOOF,"Aug 23, 2021",https://finance.yahoo.com/quote/WOOF?p=WOOF,2,<1,0,1,0,50,50,21.54,+1.55,+7.75%,At close:  4:00PM EDT
WISH,"Aug 23, 2021",https://finance.yahoo.com/quote/WISH?p=WISH,5,1,2,3,40,60,0,6.63,+0.40,+6.42%,At close:  4:00PM EDT
SNDL,"Aug 23, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,1,<1,0,1,0,100,0,0.6971,-0.0029,-0.41%,At close:  4:00PM EDT
RAIN,"Aug 23, 2021",https://finance.yahoo.com/quote/RAIN?p=RAIN,1,<1,0,1,0,100,0,17.55,+1.07,+6.49%,As of  2:37PM EDT. Market open.
YOU,"Aug 23, 2021",https://finance.yahoo.com/quote/YOU?p=YOU,5,1,5,0,100,0,0,47.74,+0.59,+1.25%,At close:  4:00PM EDT
AMD,"Aug 23, 2021",https://finance.yahoo.com/quote/AMD?p=AMD,5,1,3,0,60,0,40,104.65,+0.95,+0.92%,At close:  4:00PM EDT
CLF,"Aug 23, 2021",https://finance.yahoo.com/quote/CLF?p=CLF,3,<1,0,0,0,0,100,22.99,-0.18,-0.78%,At close:  4:00PM EDT
AAL,"Aug 23, 2021",https://finance.yahoo.com/quote/AAL?p=AAL,2,<1,0,1,0,50,50,18.50,-0.23,-1.23%,At close:  4:00PM EDT
