ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
SKLZ,"Oct 01, 2021",https://finance.yahoo.com/quote/SKLZ?p=SKLZ,2,<1,2,0,100,0,0,9.82,-0.15,-1.50%,At close:  4:00PM EDT
SAVA,"Oct 01, 2021",https://finance.yahoo.com/quote/SAVA?p=SAVA,1,<1,0,0,0,0,100,62.08,-0.06,-0.10%,At close:  4:00PM EDT
CDC,"Oct 01, 2021",https://finance.yahoo.com/quote/CDC?p=CDC,1,<1,0,0,0,0,100,,,,
LCID,"Oct 01, 2021",https://finance.yahoo.com/quote/LCID?p=LCID,6,<1,2,2,33,33,33,25.38,-0.90,-3.42%,At close:  4:00PM EDT
AMC,"Oct 01, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,35,4,16,7,45,20,34,38.06,+2.52,+7.09%,At close:  4:00PM EDT
DOLE,"Oct 01, 2021",https://finance.yahoo.com/quote/DOLE?p=DOLE,42,5,17,6,40,14,45,16.96,+1.11,+7.00%,At close:  4:00PM EDT
GME,"Oct 01, 2021",https://finance.yahoo.com/quote/GME?p=GME,40,4,17,12,42,30,27,175.47,-0.45,-0.26%,At close:  4:00PM EDT
BMRN,"Oct 01, 2021",https://finance.yahoo.com/quote/BMRN?p=BMRN,1,<1,1,0,100,0,0,77.29,+0.50,+0.65%,At close:  4:00PM EDT
SPY,"Oct 01, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,94,11,33,23,35,24,40,429.14,-5.31,-1.22%,At close:  4:00PM EDT
BBBY,"Oct 01, 2021",https://finance.yahoo.com/quote/BBBY?p=BBBY,49,6,23,10,46,20,32,17.28,-4.93,-22.18%,At close:  4:00PM EDT
HOOD,"Oct 01, 2021",https://finance.yahoo.com/quote/HOOD?p=HOOD,6,<1,1,0,16,0,83,42.08,-1.05,-2.43%,At close:  4:00PM EDT
SDC,"Oct 01, 2021",https://finance.yahoo.com/quote/SDC?p=SDC,38,4,10,15,26,39,34,5.32,+0.07,+1.33%,At close:  4:00PM EDT
ZOM,"Oct 01, 2021",https://finance.yahoo.com/quote/ZOM?p=ZOM,2,<1,2,0,100,0,0,0.5235,+0.0160,+3.15%,At close:  4:00PM EDT
LIVE,"Oct 01, 2021",https://finance.yahoo.com/quote/LIVE?p=LIVE,1,<1,1,0,100,0,0,,,,
AMD,"Oct 01, 2021",https://finance.yahoo.com/quote/AMD?p=AMD,5,<1,3,1,60,20,20,102.90,+2.55,+2.54%,At close:  4:00PM EDT
PLTR,"Oct 01, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,6,<1,3,2,50,33,16,24.04,-0.48,-1.96%,At close:  4:00PM EDT
XT,"Oct 01, 2021",https://finance.yahoo.com/quote/XT?p=XT,1,<1,1,0,100,0,0,,,,
NIO,"Oct 01, 2021",https://finance.yahoo.com/quote/NIO?p=NIO,5,<1,2,1,40,20,40,35.63,+0.50,+1.42%,At close:  4:02PM EDT
QQQ,"Oct 01, 2021",https://finance.yahoo.com/quote/QQQ?p=QQQ,7,<1,3,2,42,28,28,357.96,-1.32,-0.37%,At close:  4:00PM EDT
ALL,"Oct 01, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,4,<1,2,2,50,50,0,129.33,+1.34,+1.05%,At close:  4:00PM EDT
UP,"Oct 01, 2021",https://finance.yahoo.com/quote/UP?p=UP,4,<1,1,1,25,25,50,6.70,-0.18,-2.62%,At close:  4:00PM EDT
AIR,"Oct 01, 2021",https://finance.yahoo.com/quote/AIR?p=AIR,2,<1,2,0,100,0,0,32.90,-0.34,-1.02%,At close:  4:00PM EDT
COIN,"Oct 01, 2021",https://finance.yahoo.com/quote/COIN?p=COIN,2,<1,1,0,50,0,50,227.48,+2.20,+0.98%,At close:  4:00PM EDT
CLOV,"Oct 01, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,20,2,9,5,45,25,30,7.39,-0.01,-0.14%,At close:  4:00PM EDT
MRK,"Oct 01, 2021",https://finance.yahoo.com/quote/MRK?p=MRK,11,1,5,0,45,0,54,75.11,+0.02,+0.03%,At close:  4:02PM EDT
FB,"Oct 01, 2021",https://finance.yahoo.com/quote/FB?p=FB,2,<1,1,0,50,0,50,339.39,-0.22,-0.06%,At close:  4:00PM EDT
IRNT,"Oct 01, 2021",https://finance.yahoo.com/quote/IRNT?p=IRNT,18,2,8,8,44,44,11,17.05,-2.98,-14.88%,At close:  4:00PM EDT
HUT,"Oct 01, 2021",https://finance.yahoo.com/quote/HUT?p=HUT,1,<1,0,1,0,100,0,8.40,+0.59,+7.55%,At close:  4:00PM EDT
DIS,"Oct 01, 2021",https://finance.yahoo.com/quote/DIS?p=DIS,1,<1,0,0,0,0,100,169.17,-3.51,-2.03%,At close:  4:02PM EDT
MRNA,"Oct 01, 2021",https://finance.yahoo.com/quote/MRNA?p=MRNA,4,<1,1,3,25,75,0,384.86,+5.96,+1.57%,At close:  4:00PM EDT
BNTX,"Oct 01, 2021",https://finance.yahoo.com/quote/BNTX?p=BNTX,1,<1,1,0,100,0,0,272.99,-4.45,-1.60%,At close:  4:00PM EDT
GOVT,"Oct 01, 2021",https://finance.yahoo.com/quote/GOVT?p=GOVT,1,<1,0,1,0,100,0,,,,
NVAX,"Oct 01, 2021",https://finance.yahoo.com/quote/NVAX?p=NVAX,1,<1,0,1,0,100,0,207.31,+3.78,+1.86%,At close:  4:00PM EDT
IRS,"Oct 01, 2021",https://finance.yahoo.com/quote/IRS?p=IRS,4,<1,1,3,25,75,0,,,,
