ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
SNDL,"Apr 19, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,23,2,13,8,56,34,8,0.8466,-0.0054,-0.63%,At close:  4:00PM EDT
PTON,"Apr 19, 2021",https://finance.yahoo.com/quote/PTON?p=PTON,7,<1,1,4,14,57,28,116.21,-3.69,-3.08%,At close:  4:00PM EDT
GME,"Apr 19, 2021",https://finance.yahoo.com/quote/GME?p=GME,314,31,130,71,41,22,35,154.69,-1.75,-1.12%,At close:  4:00PM EDT
KULR,"Apr 19, 2021",https://finance.yahoo.com/quote/KULR?p=KULR,1,<1,0,1,0,100,0,2.0800,-0.1100,-5.02%,At close:  3:59PM EDT
TSLA,"Apr 19, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,38,3,14,11,36,28,34,739.78,+0.93,+0.13%,At close:  4:00PM EDT
XM,"Apr 19, 2021",https://finance.yahoo.com/quote/XM?p=XM,2,<1,0,0,0,0,100,33.99,+0.59,+1.77%,At close:  4:00PM EDT
ONTO,"Apr 19, 2021",https://finance.yahoo.com/quote/ONTO?p=ONTO,1,<1,0,1,0,100,0,70.66,-0.40,-0.56%,At close:  4:00PM EDT
LL,"Apr 19, 2021",https://finance.yahoo.com/quote/LL?p=LL,2,<1,1,1,50,50,0,27.47,+1.17,+4.45%,At close:  4:00PM EDT
IQ,"Apr 19, 2021",https://finance.yahoo.com/quote/IQ?p=IQ,2,<1,1,1,50,50,0,15.22,+0.05,+0.33%,At close:  4:00PM EDT
WWE,"Apr 19, 2021",https://finance.yahoo.com/quote/WWE?p=WWE,1,<1,1,0,100,0,0,56.36,-0.38,-0.67%,At close:  4:00PM EDT
RC,"Apr 19, 2021",https://finance.yahoo.com/quote/RC?p=RC,3,<1,3,0,100,0,0,13.99,-0.07,-0.50%,At close:  4:00PM EDT
TD,"Apr 19, 2021",https://finance.yahoo.com/quote/TD?p=TD,9,<1,5,4,55,44,0,66.24,+0.31,+0.47%,At close:  4:00PM EDT
PICK,"Apr 19, 2021",https://finance.yahoo.com/quote/PICK?p=PICK,2,<1,0,0,0,0,100,45.78,+0.32,+0.70%,At close:  3:59PM EDT
MSCI,"Apr 19, 2021",https://finance.yahoo.com/quote/MSCI?p=MSCI,2,<1,1,0,50,0,50,473.52,+3.87,+0.82%,At close:  4:03PM EDT
UI,"Apr 19, 2021",https://finance.yahoo.com/quote/UI?p=UI,2,<1,1,1,50,50,0,287.37,+8.04,+2.88%,At close:  4:00PM EDT
TA,"Apr 19, 2021",https://finance.yahoo.com/quote/TA?p=TA,2,<1,1,0,50,0,50,26.54,+0.06,+0.23%,At close:  4:00PM EDT
PLTR,"Apr 19, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,29,2,12,9,41,31,27,22.47,-0.68,-2.94%,At close:  4:00PM EDT
CC,"Apr 19, 2021",https://finance.yahoo.com/quote/CC?p=CC,2,<1,2,0,100,0,0,30.12,+0.15,+0.50%,At close:  4:00PM EDT
NASA,"Apr 19, 2021",https://finance.yahoo.com/quote/NASA?p=NASA,1,<1,0,0,0,0,100,,,,
SON,"Apr 19, 2021",https://finance.yahoo.com/quote/SON?p=SON,1,<1,1,0,100,0,0,64.88,+0.56,+0.87%,At close:  4:00PM EDT
MAN,"Apr 19, 2021",https://finance.yahoo.com/quote/MAN?p=MAN,2,<1,1,0,50,0,50,110.04,+1.76,+1.63%,At close:  4:00PM EDT
SUN,"Apr 19, 2021",https://finance.yahoo.com/quote/SUN?p=SUN,1,<1,0,0,0,0,100,33.82,+0.21,+0.62%,At close:  4:00PM EDT
GS,"Apr 19, 2021",https://finance.yahoo.com/quote/GS?p=GS,3,<1,0,3,0,100,0,342.31,+3.76,+1.11%,At close:  4:00PM EDT
BNGO,"Apr 19, 2021",https://finance.yahoo.com/quote/BNGO?p=BNGO,1,<1,0,0,0,0,100,5.66,-0.45,-7.36%,At close:  4:00PM EDT
COIN,"Apr 19, 2021",https://finance.yahoo.com/quote/COIN?p=COIN,5,<1,2,1,40,20,40,342.00,+19.25,+5.96%,At close:  4:00PM EDT
NICE,"Apr 19, 2021",https://finance.yahoo.com/quote/NICE?p=NICE,3,<1,3,0,100,0,0,237.64,+0.22,+0.09%,At close:  4:00PM EDT
PLUS,"Apr 19, 2021",https://finance.yahoo.com/quote/PLUS?p=PLUS,1,<1,1,0,100,0,0,99.27,+2.79,+2.89%,At close:  4:00PM EDT
VIAC,"Apr 19, 2021",https://finance.yahoo.com/quote/VIAC?p=VIAC,2,<1,2,0,100,0,0,39.35,+0.10,+0.25%,At close:  4:00PM EDT
ASO,"Apr 19, 2021",https://finance.yahoo.com/quote/ASO?p=ASO,1,<1,0,0,0,0,100,30.77,+0.23,+0.75%,At close:  4:00PM EDT
ICLN,"Apr 19, 2021",https://finance.yahoo.com/quote/ICLN?p=ICLN,1,<1,0,0,0,0,100,23.82,+0.77,+3.34%,At close:  4:00PM EDT
PLUG,"Apr 19, 2021",https://finance.yahoo.com/quote/PLUG?p=PLUG,3,<1,1,1,33,33,33,27.24,+1.15,+4.41%,At close:  4:00PM EDT
AWAY,"Apr 19, 2021",https://finance.yahoo.com/quote/AWAY?p=AWAY,1,<1,0,1,0,100,0,30.54,+0.05,+0.16%,At close:  4:00PM EDT
MARA,"Apr 19, 2021",https://finance.yahoo.com/quote/MARA?p=MARA,2,<1,0,2,0,100,0,38.93,-3.21,-7.62%,At close:  4:00PM EDT
DIS,"Apr 19, 2021",https://finance.yahoo.com/quote/DIS?p=DIS,2,<1,0,2,0,100,0,187.26,+1.33,+0.72%,At close:  4:04PM EDT
AIN,"Apr 19, 2021",https://finance.yahoo.com/quote/AIN?p=AIN,1,<1,1,0,100,0,0,87.98,+1.10,+1.27%,At close:  4:00PM EDT
CLOV,"Apr 19, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,71,7,33,19,46,26,26,8.82,+1.47,+20.00%,At close:  4:00PM EDT
AAPL,"Apr 19, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,17,1,7,3,41,17,41,134.16,-0.34,-0.25%,At close:  4:00PM EDT
SPY,"Apr 19, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,44,4,21,8,47,18,34,417.26,+1.39,+0.33%,At close:  4:00PM EDT
CO,"Apr 19, 2021",https://finance.yahoo.com/quote/CO?p=CO,3,<1,2,0,66,0,33,4.8100,+0.0600,+1.26%,At close:  4:00PM EDT
STON,"Apr 19, 2021",https://finance.yahoo.com/quote/STON?p=STON,1,<1,1,0,100,0,0,2.1800,+0.5200,+31.33%,At close:  4:00PM EDT
DON,"Apr 19, 2021",https://finance.yahoo.com/quote/DON?p=DON,2,<1,0,1,0,50,50,41.87,+0.30,+0.72%,At close:  4:00PM EDT
ALL,"Apr 19, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,2,<1,1,1,50,50,0,122.20,+0.61,+0.50%,At close:  4:00PM EDT
TELL,"Apr 19, 2021",https://finance.yahoo.com/quote/TELL?p=TELL,1,<1,0,0,0,0,100,1.7200,-0.1900,-9.95%,At close:  4:00PM EDT
BEST,"Apr 19, 2021",https://finance.yahoo.com/quote/BEST?p=BEST,1,<1,1,0,100,0,0,1.3800,0.0000,0.00%,At close:  4:00PM EDT
OLD,"Apr 19, 2021",https://finance.yahoo.com/quote/OLD?p=OLD,2,<1,1,0,50,0,50,32.37,-0.07,-0.23%,At close:  12:57PM EDT
DEEP,"Apr 19, 2021",https://finance.yahoo.com/quote/DEEP?p=DEEP,1,<1,1,0,100,0,0,35.02,+0.35,+1.01%,At close:  4:00PM EDT
