ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
AUPH,"May 21, 2021",https://finance.yahoo.com/quote/AUPH?p=AUPH,2,<1,2,0,100,0,0,12.82,0.00,0.00%,At close:  4:00PM EDT
PSLV,"May 21, 2021",https://finance.yahoo.com/quote/PSLV?p=PSLV,7,<1,3,0,42,0,57,9.93,-0.02,-0.20%,At close:  4:00PM EDT
GME,"May 21, 2021",https://finance.yahoo.com/quote/GME?p=GME,106,8,49,24,46,22,31,170.49,+1.66,+0.98%,At close:  4:00PM EDT
AAAU,"May 21, 2021",https://finance.yahoo.com/quote/AAAU?p=AAAU,1,<1,1,0,100,0,0,18.69,+0.08,+0.43%,At close:  4:00PM EDT
AMC,"May 21, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,58,4,26,11,44,18,36,12.55,-0.09,-0.71%,At close:  4:00PM EDT
WM,"May 21, 2021",https://finance.yahoo.com/quote/WM?p=WM,1,<1,1,0,100,0,0,140.43,+1.28,+0.92%,At close:  4:00PM EDT
PLTR,"May 21, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,99,7,35,26,35,26,38,20.61,-0.06,-0.29%,At close:  4:00PM EDT
TSLA,"May 21, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,81,6,19,17,23,20,55,586.78,+23.32,+4.14%,At close:  4:00PM EDT
SPY,"May 21, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,101,7,29,33,28,32,38,415.28,+4.42,+1.08%,At close:  4:00PM EDT
UWMC,"May 21, 2021",https://finance.yahoo.com/quote/UWMC?p=UWMC,87,6,33,22,37,25,36,8.32,-0.04,-0.48%,At close:  4:00PM EDT
MD,"May 21, 2021",https://finance.yahoo.com/quote/MD?p=MD,1,<1,1,0,100,0,0,31.73,+0.37,+1.18%,At close:  4:00PM EDT
AMD,"May 21, 2021",https://finance.yahoo.com/quote/AMD?p=AMD,30,2,3,6,10,20,70,78.06,+1.83,+2.40%,At close:  4:00PM EDT
MVIS,"May 21, 2021",https://finance.yahoo.com/quote/MVIS?p=MVIS,28,2,10,9,35,32,32,14.34,+0.36,+2.58%,At close:  4:00PM EDT
AAPL,"May 21, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,27,2,10,7,37,25,37,127.31,+2.62,+2.10%,At close:  4:00PM EDT
PSFE,"May 21, 2021",https://finance.yahoo.com/quote/PSFE?p=PSFE,9,<1,1,3,11,33,55,12.07,-0.14,-1.15%,At close:  4:00PM EDT
TLRY,"May 21, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,4,<1,0,1,0,25,75,14.94,-0.08,-0.53%,At close:  4:00PM EDT
CLOV,"May 21, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,21,1,12,1,57,4,38,7.13,+0.29,+4.24%,At close:  4:00PM EDT
SPCE,"May 21, 2021",https://finance.yahoo.com/quote/SPCE?p=SPCE,63,4,20,17,31,26,41,19.81,+2.54,+14.71%,At close:  4:00PM EDT
NOK,"May 21, 2021",https://finance.yahoo.com/quote/NOK?p=NOK,5,<1,2,0,40,0,60,5.15,+0.21,+4.25%,At close:  4:00PM EDT
LEAP,"May 21, 2021",https://finance.yahoo.com/quote/LEAP?p=LEAP,3,<1,1,1,33,33,33,10.50,+0.25,+2.44%,At close:  4:00PM EDT
DTE,"May 21, 2021",https://finance.yahoo.com/quote/DTE?p=DTE,3,<1,2,1,66,33,0,140.36,+1.56,+1.12%,At close:  4:04PM EDT
T,"May 21, 2021",https://finance.yahoo.com/quote/T?p=T,1,<1,1,0,100,0,0,29.64,+0.68,+2.35%,At close:  4:03PM EDT
VIAC,"May 21, 2021",https://finance.yahoo.com/quote/VIAC?p=VIAC,22,1,9,5,40,22,36,41.52,+1.83,+4.61%,At close:  4:00PM EDT
VXX,"May 21, 2021",https://finance.yahoo.com/quote/VXX?p=VXX,8,<1,3,3,37,37,25,39.99,-2.36,-5.57%,At close:  4:00PM EDT
GOOGL,"May 21, 2021",https://finance.yahoo.com/quote/GOOGL?p=GOOGL,1,<1,1,0,100,0,0,"2,306.95",+35.45,+1.56%,At close:  4:00PM EDT
DE,"May 21, 2021",https://finance.yahoo.com/quote/DE?p=DE,2,<1,0,2,0,100,0,355.22,-3.20,-0.89%,At close:  4:00PM EDT
EPS,"May 21, 2021",https://finance.yahoo.com/quote/EPS?p=EPS,4,<1,0,4,0,100,0,45.55,+0.40,+0.89%,At close:  3:59PM EDT
OCGN,"May 21, 2021",https://finance.yahoo.com/quote/OCGN?p=OCGN,1,<1,1,0,100,0,0,9.08,+0.32,+3.65%,At close:  4:00PM EDT
GOLD,"May 21, 2021",https://finance.yahoo.com/quote/GOLD?p=GOLD,1,<1,0,0,0,0,100,24.81,+0.22,+0.89%,At close:  4:00PM EDT
HERO,"May 21, 2021",https://finance.yahoo.com/quote/HERO?p=HERO,1,<1,1,0,100,0,0,31.34,+0.89,+2.92%,At close:  4:00PM EDT
FUBO,"May 21, 2021",https://finance.yahoo.com/quote/FUBO?p=FUBO,3,<1,0,1,0,33,66,20.56,-0.01,-0.05%,At close:  4:00PM EDT
BIDET,"May 21, 2021",https://finance.yahoo.com/quote/BIDET?p=BIDET,1,<1,0,0,0,0,100,,,,
CVS,"May 21, 2021",https://finance.yahoo.com/quote/CVS?p=CVS,1,<1,0,0,0,0,100,89.07,-0.14,-0.16%,At close:  4:00PM EDT
JPM,"May 21, 2021",https://finance.yahoo.com/quote/JPM?p=JPM,3,<1,1,1,33,33,33,160.83,-0.28,-0.17%,At close:  4:00PM EDT
TGT,"May 21, 2021",https://finance.yahoo.com/quote/TGT?p=TGT,2,<1,0,0,0,0,100,221.79,+2.78,+1.27%,At close:  4:02PM EDT
WMT,"May 21, 2021",https://finance.yahoo.com/quote/WMT?p=WMT,1,<1,0,0,0,0,100,142.42,+0.50,+0.35%,At close:  4:00PM EDT
PTON,"May 21, 2021",https://finance.yahoo.com/quote/PTON?p=PTON,2,<1,0,0,0,0,100,100.46,+3.91,+4.05%,At close:  4:00PM EDT
PLUG,"May 21, 2021",https://finance.yahoo.com/quote/PLUG?p=PLUG,1,<1,0,0,0,0,100,27.47,0.00,0.00%,At close:  4:00PM EDT
CPNG,"May 21, 2021",https://finance.yahoo.com/quote/CPNG?p=CPNG,1,<1,0,0,0,0,100,38.74,+1.68,+4.53%,At close:  4:00PM EDT
BB,"May 21, 2021",https://finance.yahoo.com/quote/BB?p=BB,4,<1,3,0,75,0,25,8.78,+0.24,+2.81%,At close:  4:00PM EDT
RKT,"May 21, 2021",https://finance.yahoo.com/quote/RKT?p=RKT,33,2,16,9,48,27,24,17.23,+0.14,+0.82%,At close:  4:00PM EDT
TEAM,"May 21, 2021",https://finance.yahoo.com/quote/TEAM?p=TEAM,2,<1,0,0,0,0,100,224.66,+8.48,+3.92%,At close:  4:00PM EDT
COIN,"May 21, 2021",https://finance.yahoo.com/quote/COIN?p=COIN,20,1,6,4,30,20,50,233.40,+8.60,+3.83%,At close:  4:00PM EDT
QQQ,"May 21, 2021",https://finance.yahoo.com/quote/QQQ?p=QQQ,11,<1,1,5,9,45,45,328.83,+6.24,+1.93%,At close:  4:00PM EDT
DEA,"May 21, 2021",https://finance.yahoo.com/quote/DEA?p=DEA,2,<1,0,0,0,0,100,20.59,+0.40,+1.98%,At close:  4:00PM EDT
HD,"May 21, 2021",https://finance.yahoo.com/quote/HD?p=HD,2,<1,0,1,0,50,50,315.90,+1.45,+0.46%,At close:  4:00PM EDT
LOW,"May 21, 2021",https://finance.yahoo.com/quote/LOW?p=LOW,1,<1,0,1,0,100,0,193.41,+2.69,+1.41%,At close:  4:04PM EDT
CCL,"May 21, 2021",https://finance.yahoo.com/quote/CCL?p=CCL,7,<1,1,3,14,42,42,27.53,-0.15,-0.54%,At close:  4:00PM EDT
DIS,"May 21, 2021",https://finance.yahoo.com/quote/DIS?p=DIS,3,<1,1,2,33,66,0,171.36,+2.09,+1.23%,At close:  4:03PM EDT
CLNE,"May 21, 2021",https://finance.yahoo.com/quote/CLNE?p=CLNE,2,<1,0,1,0,50,50,7.64,-0.23,-2.92%,At close:  4:00PM EDT
GLD,"May 21, 2021",https://finance.yahoo.com/quote/GLD?p=GLD,2,<1,0,0,0,0,100,175.96,+0.80,+0.46%,At close:  4:00PM EDT
F,"May 21, 2021",https://finance.yahoo.com/quote/F?p=F,4,<1,3,0,75,0,25,12.49,+0.38,+3.14%,At close:  4:05PM EDT
