ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
GME,"Mar 15, 2021",https://finance.yahoo.com/quote/GME?p=GME,1022,48,538,190,52,18,28,264.50,+4.50,+1.73%,At close:  4:00PM EST
GOEV,"Mar 15, 2021",https://finance.yahoo.com/quote/GOEV?p=GOEV,13,<1,2,5,15,38,46,14.82,+0.15,+1.02%,At close:  4:00PM EST
NOC,"Mar 15, 2021",https://finance.yahoo.com/quote/NOC?p=NOC,3,<1,2,0,66,0,33,301.79,+2.38,+0.79%,At close:  4:00PM EST
NOK,"Mar 15, 2021",https://finance.yahoo.com/quote/NOK?p=NOK,34,1,15,8,44,23,32,4.2200,+0.1200,+2.93%,At close:  4:00PM EST
ALL,"Mar 15, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,11,<1,6,2,54,18,27,115.74,+1.98,+1.74%,At close:  4:00PM EST
FUD,"Mar 15, 2021",https://finance.yahoo.com/quote/FUD?p=FUD,1,<1,1,0,100,0,0,17.38,0.00,0.00%,At close:  3:04PM EST
DON,"Mar 15, 2021",https://finance.yahoo.com/quote/DON?p=DON,1,<1,1,0,100,0,0,40.87,+0.37,+0.91%,At close:  4:00PM EST
IRS,"Mar 15, 2021",https://finance.yahoo.com/quote/IRS?p=IRS,4,<1,2,0,50,0,50,4.0600,0.0000,0.00%,At close:  4:00PM EST
AMC,"Mar 15, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,191,9,104,29,54,15,30,11.16,+0.88,+8.56%,At close:  4:00PM EST
ECHO,"Mar 15, 2021",https://finance.yahoo.com/quote/ECHO?p=ECHO,1,<1,1,0,100,0,0,32.43,-0.03,-0.09%,At close:  4:00PM EST
BEST,"Mar 15, 2021",https://finance.yahoo.com/quote/BEST?p=BEST,2,<1,2,0,100,0,0,2.3900,+0.2300,+10.65%,At close:  4:00PM EST
LL,"Mar 15, 2021",https://finance.yahoo.com/quote/LL?p=LL,1,<1,0,1,0,100,0,26.00,-0.08,-0.31%,At close:  4:00PM EST
CAT,"Mar 15, 2021",https://finance.yahoo.com/quote/CAT?p=CAT,4,<1,2,0,50,0,50,229.00,+9.24,+4.20%,At close:  4:00PM EST
III,"Mar 15, 2021",https://finance.yahoo.com/quote/III?p=III,2,<1,1,1,50,50,0,4.4200,+0.5300,+13.62%,At close:  4:00PM EST
