ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
GME,"May 06, 2021",https://finance.yahoo.com/quote/GME?p=GME,276,11,135,86,48,31,19,159.48,-1.25,-0.78%,At close:  4:00PM EDT
PGM,"May 06, 2021",https://finance.yahoo.com/quote/PGM?p=PGM,1,<1,0,0,0,0,100,58.58,+0.10,+0.18%,At close:  10:35AM EDT
CLOV,"May 06, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,59,2,27,7,45,11,42,8.84,-0.22,-2.43%,At close:  4:00PM EDT
MNMD,"May 06, 2021",https://finance.yahoo.com/quote/MNMD?p=MNMD,14,<1,6,2,42,14,42,3.3500,-0.0300,-0.89%,At close:  4:00PM EDT
VIAC,"May 06, 2021",https://finance.yahoo.com/quote/VIAC?p=VIAC,33,1,14,8,42,24,33,39.10,-0.87,-2.16%,At close:  4:00PM EDT
NKLA,"May 06, 2021",https://finance.yahoo.com/quote/NKLA?p=NKLA,3,<1,3,0,100,0,0,10.42,-0.39,-3.61%,At close:  4:00PM EDT
SPY,"May 06, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,40,1,19,5,47,12,40,415.75,+0.13,+0.03%,At close:  4:00PM EDT
RKT,"May 06, 2021",https://finance.yahoo.com/quote/RKT?p=RKT,489,20,192,129,39,26,34,22.80,+0.31,+1.38%,At close:  4:00PM EDT
PLUG,"May 06, 2021",https://finance.yahoo.com/quote/PLUG?p=PLUG,3,<1,0,2,0,66,33,24.29,-0.31,-1.26%,At close:  4:00PM EDT
PLTR,"May 06, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,109,4,45,26,41,23,34,21.15,-0.49,-2.26%,At close:  4:00PM EDT
FSLY,"May 06, 2021",https://finance.yahoo.com/quote/FSLY?p=FSLY,11,<1,6,2,54,18,27,58.06,-1.23,-2.07%,At close:  4:00PM EDT
COIN,"May 06, 2021",https://finance.yahoo.com/quote/COIN?p=COIN,12,<1,9,3,75,25,0,273.00,-7.66,-2.73%,At close:  4:00PM EDT
TLRY,"May 06, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,8,<1,4,1,50,12,37,15.90,-0.20,-1.24%,At close:  4:00PM EDT
MJ,"May 06, 2021",https://finance.yahoo.com/quote/MJ?p=MJ,1,<1,0,0,0,0,100,20.86,0.00,0.00%,At close:  4:00PM EDT
MVIS,"May 06, 2021",https://finance.yahoo.com/quote/MVIS?p=MVIS,26,1,13,6,50,23,26,14.48,-0.92,-5.97%,At close:  4:00PM EDT
OCGN,"May 06, 2021",https://finance.yahoo.com/quote/OCGN?p=OCGN,6,<1,4,2,66,33,0,10.91,-1.60,-12.79%,At close:  4:00PM EDT
AMC,"May 06, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,80,3,47,17,58,21,20,9.17,-0.22,-2.34%,At close:  4:00PM EDT
AMD,"May 06, 2021",https://finance.yahoo.com/quote/AMD?p=AMD,57,2,22,11,38,19,42,77.83,-0.78,-0.99%,At close:  4:00PM EDT
TSLA,"May 06, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,27,1,5,12,18,44,37,670.94,-2.66,-0.39%,At close:  4:00PM EDT
SOS,"May 06, 2021",https://finance.yahoo.com/quote/SOS?p=SOS,40,1,17,9,42,22,35,4.2700,+0.2100,+5.17%,At close:  4:00PM EDT
TWLO,"May 06, 2021",https://finance.yahoo.com/quote/TWLO?p=TWLO,2,<1,1,1,50,50,0,335.72,-6.31,-1.84%,At close:  4:00PM EDT
ICLN,"May 06, 2021",https://finance.yahoo.com/quote/ICLN?p=ICLN,1,<1,0,0,0,0,100,21.94,-0.03,-0.14%,At close:  4:00PM EDT
ALL,"May 06, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,17,<1,7,6,41,35,23,127.45,-0.39,-0.31%,At close:  4:00PM EDT
CRSR,"May 06, 2021",https://finance.yahoo.com/quote/CRSR?p=CRSR,45,1,20,11,44,24,31,34.01,+1.42,+4.34%,At close:  4:00PM EDT
LL,"May 06, 2021",https://finance.yahoo.com/quote/LL?p=LL,1,<1,0,1,0,100,0,23.09,-1.67,-6.74%,At close:  4:00PM EDT
ASO,"May 06, 2021",https://finance.yahoo.com/quote/ASO?p=ASO,33,1,18,3,54,9,36,33.29,+2.49,+8.08%,At close:  4:00PM EDT
CBD,"May 06, 2021",https://finance.yahoo.com/quote/CBD?p=CBD,1,<1,1,0,100,0,0,7.33,+0.27,+3.82%,At close:  4:00PM EDT
FUBO,"May 06, 2021",https://finance.yahoo.com/quote/FUBO?p=FUBO,6,<1,2,2,33,33,33,18.00,-0.88,-4.66%,At close:  4:00PM EDT
NIO,"May 06, 2021",https://finance.yahoo.com/quote/NIO?p=NIO,12,<1,5,4,41,33,25,37.71,-0.22,-0.58%,At close:  4:00PM EDT
ARKK,"May 06, 2021",https://finance.yahoo.com/quote/ARKK?p=ARKK,7,<1,1,0,14,0,85,111.55,-1.74,-1.54%,At close:  4:00PM EDT
PTON,"May 06, 2021",https://finance.yahoo.com/quote/PTON?p=PTON,25,1,11,6,44,24,32,82.62,-14.08,-14.56%,At close:  4:00PM EDT
NI,"May 06, 2021",https://finance.yahoo.com/quote/NI?p=NI,1,<1,0,1,0,100,0,25.78,-0.16,-0.62%,At close:  4:05PM EDT
BCRX,"May 06, 2021",https://finance.yahoo.com/quote/BCRX?p=BCRX,1,<1,0,0,0,0,100,10.68,-0.33,-3.00%,At close:  4:00PM EDT
TRVN,"May 06, 2021",https://finance.yahoo.com/quote/TRVN?p=TRVN,1,<1,0,1,0,100,0,1.7700,+0.0900,+5.36%,At close:  4:00PM EDT
AAPL,"May 06, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,14,<1,7,6,50,42,7,128.10,+0.25,+0.20%,At close:  4:00PM EDT
QS,"May 06, 2021",https://finance.yahoo.com/quote/QS?p=QS,4,<1,2,0,50,0,50,32.88,-1.83,-5.27%,At close:  4:00PM EDT
POST,"May 06, 2021",https://finance.yahoo.com/quote/POST?p=POST,2,<1,0,1,0,50,50,114.32,-0.60,-0.52%,At close:  4:00PM EDT
ET,"May 06, 2021",https://finance.yahoo.com/quote/ET?p=ET,6,<1,6,0,100,0,0,8.95,+0.14,+1.59%,At close:  4:00PM EDT
RBA,"May 06, 2021",https://finance.yahoo.com/quote/RBA?p=RBA,2,<1,2,0,100,0,0,65.45,+3.04,+4.87%,At close:  4:00PM EDT
MPC,"May 06, 2021",https://finance.yahoo.com/quote/MPC?p=MPC,2,<1,1,0,50,0,50,59.37,+2.07,+3.61%,At close:  4:00PM EDT
EXP,"May 06, 2021",https://finance.yahoo.com/quote/EXP?p=EXP,1,<1,1,0,100,0,0,144.09,+2.00,+1.41%,At close:  4:00PM EDT
EPS,"May 06, 2021",https://finance.yahoo.com/quote/EPS?p=EPS,25,1,7,9,28,36,36,45.47,+0.11,+0.24%,At close:  4:00PM EDT
WKHS,"May 06, 2021",https://finance.yahoo.com/quote/WKHS?p=WKHS,3,<1,2,1,66,33,0,10.98,-0.22,-1.96%,At close:  4:00PM EDT
LAND,"May 06, 2021",https://finance.yahoo.com/quote/LAND?p=LAND,2,<1,1,0,50,0,50,20.46,-0.14,-0.68%,At close:  4:00PM EDT
AMRS,"May 06, 2021",https://finance.yahoo.com/quote/AMRS?p=AMRS,1,<1,0,1,0,100,0,13.61,-0.95,-6.52%,At close:  4:00PM EDT
IQ,"May 06, 2021",https://finance.yahoo.com/quote/IQ?p=IQ,8,<1,3,1,37,12,50,14.21,-0.40,-2.74%,At close:  4:00PM EDT
SQ,"May 06, 2021",https://finance.yahoo.com/quote/SQ?p=SQ,2,<1,2,0,100,0,0,231.87,+0.68,+0.29%,At close:  4:00PM EDT
SQQQ,"May 06, 2021",https://finance.yahoo.com/quote/SQQQ?p=SQQQ,1,<1,0,0,0,0,100,11.78,+0.12,+1.03%,At close:  4:00PM EDT
QQQ,"May 06, 2021",https://finance.yahoo.com/quote/QQQ?p=QQQ,9,<1,3,4,33,44,22,329.03,-1.11,-0.34%,At close:  4:00PM EDT
