ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
IRS,"Jun 07, 2021",https://finance.yahoo.com/quote/IRS?p=IRS,1,<1,0,1,0,100,0,3.9500,-0.2300,-5.50%,At close:  4:00PM EDT
BNGO,"Jun 07, 2021",https://finance.yahoo.com/quote/BNGO?p=BNGO,28,<1,4,2,14,7,78,6.87,+0.57,+9.05%,At close:  4:00PM EDT
BB,"Jun 07, 2021",https://finance.yahoo.com/quote/BB?p=BB,867,30,305,118,35,13,51,13.86,-2.02,-12.72%,At close:  4:00PM EDT
FSR,"Jun 07, 2021",https://finance.yahoo.com/quote/FSR?p=FSR,8,<1,2,2,25,25,50,15.92,+0.01,+0.06%,At close:  4:00PM EDT
CLNE,"Jun 07, 2021",https://finance.yahoo.com/quote/CLNE?p=CLNE,289,10,117,37,40,12,46,9.31,+0.19,+2.08%,At close:  4:00PM EDT
WKHS,"Jun 07, 2021",https://finance.yahoo.com/quote/WKHS?p=WKHS,81,2,26,11,32,13,54,13.05,-1.72,-11.65%,At close:  4:00PM EDT
GME,"Jun 07, 2021",https://finance.yahoo.com/quote/GME?p=GME,258,9,122,46,47,17,34,248.36,-9.82,-3.80%,At close:  4:00PM EDT
CLOV,"Jun 07, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,296,10,105,38,35,12,51,9.00,+0.06,+0.67%,At close:  4:00PM EDT
FUBO,"Jun 07, 2021",https://finance.yahoo.com/quote/FUBO?p=FUBO,1,<1,0,0,0,0,100,26.97,-0.41,-1.50%,At close:  4:00PM EDT
SPCE,"Jun 07, 2021",https://finance.yahoo.com/quote/SPCE?p=SPCE,13,<1,6,3,46,23,30,31.38,+0.37,+1.19%,At close:  4:00PM EDT
MVIS,"Jun 07, 2021",https://finance.yahoo.com/quote/MVIS?p=MVIS,42,1,20,6,47,14,38,20.25,+2.23,+12.38%,At close:  4:00PM EDT
TTM,"Jun 07, 2021",https://finance.yahoo.com/quote/TTM?p=TTM,1,<1,0,1,0,100,0,23.60,+1.36,+6.12%,At close:  4:00PM EDT
SRNE,"Jun 07, 2021",https://finance.yahoo.com/quote/SRNE?p=SRNE,3,<1,2,1,66,33,0,8.11,+0.01,+0.12%,At close:  4:00PM EDT
AMC,"Jun 07, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,333,11,129,66,38,19,41,47.91,-3.43,-6.68%,At close:  4:00PM EDT
TLRY,"Jun 07, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,48,1,11,2,22,4,72,18.80,-0.92,-4.67%,At close:  4:00PM EDT
NKLA,"Jun 07, 2021",https://finance.yahoo.com/quote/NKLA?p=NKLA,1,<1,0,1,0,100,0,16.99,+0.11,+0.65%,At close:  4:00PM EDT
NNDM,"Jun 07, 2021",https://finance.yahoo.com/quote/NNDM?p=NNDM,3,<1,1,1,33,33,33,7.69,+0.42,+5.78%,At close:  4:00PM EDT
BBBY,"Jun 07, 2021",https://finance.yahoo.com/quote/BBBY?p=BBBY,12,<1,7,2,58,16,25,31.71,-0.19,-0.60%,At close:  4:00PM EDT
SNDL,"Jun 07, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,35,1,15,5,42,14,42,1.0900,-0.2000,-15.50%,At close:  4:00PM EDT
QS,"Jun 07, 2021",https://finance.yahoo.com/quote/QS?p=QS,2,<1,0,0,0,0,100,28.57,+0.15,+0.53%,At close:  4:00PM EDT
SPY,"Jun 07, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,15,<1,7,4,46,26,26,422.60,+3.83,+0.91%,At close:  4:00PM EDT
AMZN,"Jun 07, 2021",https://finance.yahoo.com/quote/AMZN?p=AMZN,9,<1,5,1,55,11,33,"3,206.22",+19.21,+0.60%,At close:  4:00PM EDT
ASO,"Jun 07, 2021",https://finance.yahoo.com/quote/ASO?p=ASO,15,<1,4,2,26,13,60,37.12,+0.36,+0.98%,At close:  4:00PM EDT
ALL,"Jun 07, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,12,<1,4,3,33,25,41,136.23,-0.03,-0.02%,At close:  4:00PM EDT
CCL,"Jun 07, 2021",https://finance.yahoo.com/quote/CCL?p=CCL,3,<1,0,0,0,0,100,30.54,-0.13,-0.42%,At close:  4:00PM EDT
CHPT,"Jun 07, 2021",https://finance.yahoo.com/quote/CHPT?p=CHPT,1,<1,1,0,100,0,0,28.11,+1.84,+7.00%,At close:  4:00PM EDT
