ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
IBKR,"Feb 15, 2021",https://finance.yahoo.com/quote/IBKR?p=IBKR,3,<1,1,1,33,33,33,72.67,+1.22,+1.71%,At close:  4:00PM EST
BNGO,"Feb 15, 2021",https://finance.yahoo.com/quote/BNGO?p=BNGO,1,<1,0,0,0,0,100,13.70,+2.00,+17.09%,At close:  4:00PM EST
FUTU,"Feb 15, 2021",https://finance.yahoo.com/quote/FUTU?p=FUTU,1,<1,0,0,0,0,100,147.57,-9.77,-6.21%,At close:  4:00PM EST
TIGR,"Feb 15, 2021",https://finance.yahoo.com/quote/TIGR?p=TIGR,1,<1,0,0,0,0,100,29.97,+2.12,+7.61%,At close:  4:00PM EST
PLTR,"Feb 15, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,67,4,34,10,50,14,34,31.91,-1.20,-3.62%,At close:  4:00PM EST
GME,"Feb 15, 2021",https://finance.yahoo.com/quote/GME?p=GME,238,15,124,67,52,28,19,52.40,+1.30,+2.54%,At close:  4:00PM EST
MSFT,"Feb 15, 2021",https://finance.yahoo.com/quote/MSFT?p=MSFT,3,<1,2,0,66,0,33,244.99,+0.50,+0.20%,At close:  4:00PM EST
NG,"Feb 15, 2021",https://finance.yahoo.com/quote/NG?p=NG,3,<1,1,2,33,66,0,9.37,+0.20,+2.18%,At close:  4:00PM EST
TSLA,"Feb 15, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,21,1,11,6,52,28,19,816.12,+4.46,+0.55%,At close:  4:00PM EST
RONA,"Feb 15, 2021",https://finance.yahoo.com/quote/RONA?p=RONA,1,<1,0,1,0,100,0,,,,
BB,"Feb 15, 2021",https://finance.yahoo.com/quote/BB?p=BB,9,<1,5,2,55,22,22,13.04,+0.58,+4.65%,At close:  4:00PM EST
WOW,"Feb 15, 2021",https://finance.yahoo.com/quote/WOW?p=WOW,1,<1,1,0,100,0,0,11.54,-0.18,-1.54%,At close:  4:00PM EST
PTON,"Feb 15, 2021",https://finance.yahoo.com/quote/PTON?p=PTON,1,<1,1,0,100,0,0,154.67,+8.19,+5.59%,At close:  4:00PM EST
TELL,"Feb 15, 2021",https://finance.yahoo.com/quote/TELL?p=TELL,1,<1,0,0,0,0,100,3.7700,-0.2200,-5.51%,At close:  4:00PM EST
PINS,"Feb 15, 2021",https://finance.yahoo.com/quote/PINS?p=PINS,1,<1,0,1,0,100,0,84.04,-2.99,-3.44%,At close:  4:01PM EST
SPY,"Feb 15, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,37,2,16,14,43,37,18,392.64,+1.93,+0.49%,At close:  4:00PM EST
DEEP,"Feb 15, 2021",https://finance.yahoo.com/quote/DEEP?p=DEEP,2,<1,1,0,50,0,50,31.43,+0.09,+0.29%,At close:  3:50PM EST
SPCE,"Feb 15, 2021",https://finance.yahoo.com/quote/SPCE?p=SPCE,14,<1,7,3,50,21,28,54.53,-4.88,-8.21%,At close:  4:00PM EST
AMC,"Feb 15, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,71,4,39,25,54,35,9,5.59,-0.02,-0.36%,At close:  4:00PM EST
NOK,"Feb 15, 2021",https://finance.yahoo.com/quote/NOK?p=NOK,8,<1,5,2,62,25,12,4.1700,+0.0700,+1.71%,At close:  4:00PM EST
RIG,"Feb 15, 2021",https://finance.yahoo.com/quote/RIG?p=RIG,5,<1,1,4,20,80,0,3.5400,+0.0800,+2.31%,At close:  4:00PM EST
MT,"Feb 15, 2021",https://finance.yahoo.com/quote/MT?p=MT,2,<1,0,0,0,0,100,22.82,+0.20,+0.88%,At close:  4:00PM EST
VRTX,"Feb 15, 2021",https://finance.yahoo.com/quote/VRTX?p=VRTX,2,<1,0,2,0,100,0,213.98,+3.49,+1.66%,At close:  4:00PM EST
NIO,"Feb 15, 2021",https://finance.yahoo.com/quote/NIO?p=NIO,36,2,22,8,61,22,16,59.85,-0.42,-0.70%,At close:  4:00PM EST
SENS,"Feb 15, 2021",https://finance.yahoo.com/quote/SENS?p=SENS,2,<1,2,0,100,0,0,4.1600,+0.3500,+9.19%,At close:  4:00PM EST
PACB,"Feb 15, 2021",https://finance.yahoo.com/quote/PACB?p=PACB,1,<1,0,0,0,0,100,50.32,-0.83,-1.62%,At close:  4:00PM EST
ARKW,"Feb 15, 2021",https://finance.yahoo.com/quote/ARKW?p=ARKW,1,<1,0,0,0,0,100,187.47,+2.33,+1.26%,At close:  4:00PM EST
ARKF,"Feb 15, 2021",https://finance.yahoo.com/quote/ARKF?p=ARKF,1,<1,0,0,0,0,100,62.52,+0.58,+0.94%,At close:  4:00PM EST
ROKU,"Feb 15, 2021",https://finance.yahoo.com/quote/ROKU?p=ROKU,1,<1,0,0,0,0,100,468.67,+2.98,+0.64%,At close:  4:00PM EST
GNRC,"Feb 15, 2021",https://finance.yahoo.com/quote/GNRC?p=GNRC,3,<1,0,1,0,33,66,326.84,+10.73,+3.39%,At close:  4:00PM EST
MN,"Feb 15, 2021",https://finance.yahoo.com/quote/MN?p=MN,1,<1,0,1,0,100,0,6.60,-0.21,-3.08%,At close:  4:00PM EST
VSTO,"Feb 15, 2021",https://finance.yahoo.com/quote/VSTO?p=VSTO,1,<1,0,1,0,100,0,36.23,+0.56,+1.57%,At close:  4:00PM EST
TRVG,"Feb 15, 2021",https://finance.yahoo.com/quote/TRVG?p=TRVG,2,<1,1,0,50,0,50,3.3000,+0.6300,+23.60%,At close:  4:00PM EST
SNDL,"Feb 15, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,9,<1,5,2,55,22,22,2.0800,-0.3000,-12.61%,At close:  4:00PM EST
FORM,"Feb 15, 2021",https://finance.yahoo.com/quote/FORM?p=FORM,2,<1,0,2,0,100,0,50.40,+2.02,+4.18%,At close:  4:00PM EST
ZOM,"Feb 15, 2021",https://finance.yahoo.com/quote/ZOM?p=ZOM,1,<1,0,0,0,0,100,2.5700,-0.0900,-3.38%,At close:  4:00PM EST
GM,"Feb 15, 2021",https://finance.yahoo.com/quote/GM?p=GM,11,<1,10,1,90,9,0,53.60,+0.10,+0.19%,At close:  4:00PM EST
XOM,"Feb 15, 2021",https://finance.yahoo.com/quote/XOM?p=XOM,19,1,12,2,63,10,26,50.52,+0.68,+1.36%,At close:  4:04PM EST
AMAT,"Feb 15, 2021",https://finance.yahoo.com/quote/AMAT?p=AMAT,1,<1,0,0,0,0,100,116.70,+3.70,+3.27%,At close:  4:00PM EST
CHKP,"Feb 15, 2021",https://finance.yahoo.com/quote/CHKP?p=CHKP,2,<1,1,0,50,0,50,120.72,+0.56,+0.47%,At close:  4:00PM EST
NSA,"Feb 15, 2021",https://finance.yahoo.com/quote/NSA?p=NSA,3,<1,3,0,100,0,0,37.75,-0.13,-0.34%,At close:  4:00PM EST
IAI,"Feb 15, 2021",https://finance.yahoo.com/quote/IAI?p=IAI,1,<1,1,0,100,0,0,87.21,+1.09,+1.27%,At close:  3:58PM EST
CIA,"Feb 15, 2021",https://finance.yahoo.com/quote/CIA?p=CIA,1,<1,1,0,100,0,0,6.14,+0.08,+1.32%,At close:  4:00PM EST
