ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
MU,"Sep 28, 2021",https://finance.yahoo.com/quote/MU?p=MU,2,<1,1,0,50,0,50,75.18,+1.13,+1.53%,At close:  4:00PM EDT
GME,"Sep 28, 2021",https://finance.yahoo.com/quote/GME?p=GME,45,5,18,17,40,37,22,189.48,+4.32,+2.33%,At close:  4:00PM EDT
UP,"Sep 28, 2021",https://finance.yahoo.com/quote/UP?p=UP,4,<1,1,1,25,25,50,7.03,-0.06,-0.85%,At close:  4:00PM EDT
WWE,"Sep 28, 2021",https://finance.yahoo.com/quote/WWE?p=WWE,2,<1,2,0,100,0,0,53.98,+2.07,+3.99%,At close:  4:00PM EDT
ALL,"Sep 28, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,3,<1,3,0,100,0,0,130.40,-0.10,-0.08%,At close:  4:00PM EDT
ME,"Sep 28, 2021",https://finance.yahoo.com/quote/ME?p=ME,4,<1,3,1,75,25,0,8.72,-0.56,-6.03%,At close:  4:00PM EDT
SPY,"Sep 28, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,52,6,16,18,30,34,34,442.64,-1.27,-0.29%,At close:  4:00PM EDT
BOND,"Sep 28, 2021",https://finance.yahoo.com/quote/BOND?p=BOND,2,<1,2,0,100,0,0,,,,
OG,"Sep 28, 2021",https://finance.yahoo.com/quote/OG?p=OG,2,<1,0,1,0,50,50,7.37,-0.02,-0.27%,At close:  4:00PM EDT
DASH,"Sep 28, 2021",https://finance.yahoo.com/quote/DASH?p=DASH,1,<1,0,1,0,100,0,216.73,-3.79,-1.72%,At close:  4:00PM EDT
TELL,"Sep 28, 2021",https://finance.yahoo.com/quote/TELL?p=TELL,8,<1,4,0,50,0,50,4.0900,+0.4000,+10.84%,At close:  4:00PM EDT
SDC,"Sep 28, 2021",https://finance.yahoo.com/quote/SDC?p=SDC,132,15,48,29,36,21,41,5.95,+0.27,+4.75%,At close:  4:00PM EDT
WISH,"Sep 28, 2021",https://finance.yahoo.com/quote/WISH?p=WISH,23,2,17,3,73,13,13,6.18,+0.16,+2.66%,At close:  4:00PM EDT
QQQ,"Sep 28, 2021",https://finance.yahoo.com/quote/QQQ?p=QQQ,8,<1,1,3,12,37,50,370.35,-2.98,-0.80%,At close:  4:00PM EDT
TSLA,"Sep 28, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,41,4,17,4,41,9,48,791.36,+16.97,+2.19%,At close:  4:00PM EDT
AMD,"Sep 28, 2021",https://finance.yahoo.com/quote/AMD?p=AMD,7,<1,3,2,42,28,28,108.16,+2.36,+2.23%,At close:  4:00PM EDT
AAPL,"Sep 28, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,3,<1,3,0,100,0,0,145.37,-1.55,-1.05%,At close:  4:00PM EDT
