ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
HIMS,"Jul 15, 2021",https://finance.yahoo.com/quote/HIMS?p=HIMS,12,<1,1,7,8,58,33,9.26,-0.71,-7.12%,At close:  4:00PM EDT
CLNE,"Jul 15, 2021",https://finance.yahoo.com/quote/CLNE?p=CLNE,36,1,13,14,36,38,25,7.86,-0.66,-7.75%,At close:  4:00PM EDT
WISH,"Jul 15, 2021",https://finance.yahoo.com/quote/WISH?p=WISH,107,5,73,19,68,17,14,9.78,-0.62,-5.96%,At close:  4:00PM EDT
WKHS,"Jul 15, 2021",https://finance.yahoo.com/quote/WKHS?p=WKHS,25,1,11,3,44,12,44,11.43,-0.84,-6.81%,At close:  4:00PM EDT
SPY,"Jul 15, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,143,7,57,46,39,32,27,436.24,+0.65,+0.15%,At close:  4:00PM EDT
TLRY,"Jul 15, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,16,<1,6,6,37,37,25,15.01,-1.31,-8.03%,At close:  4:00PM EDT
THC,"Jul 15, 2021",https://finance.yahoo.com/quote/THC?p=THC,4,<1,4,0,100,0,0,66.04,-2.38,-3.48%,At close:  4:00PM EDT
HITI,"Jul 15, 2021",https://finance.yahoo.com/quote/HITI?p=HITI,1,<1,1,0,100,0,0,6.86,-0.22,-3.11%,At close:  4:00PM EDT
ARVL,"Jul 15, 2021",https://finance.yahoo.com/quote/ARVL?p=ARVL,7,<1,7,0,100,0,0,13.37,-0.92,-6.44%,At close:  4:00PM EDT
NVDA,"Jul 15, 2021",https://finance.yahoo.com/quote/NVDA?p=NVDA,6,<1,4,0,66,0,33,793.66,-16.34,-2.02%,At close:  4:00PM EDT
AMC,"Jul 15, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,244,12,86,70,35,28,36,33.43,-5.92,-15.04%,At close:  4:00PM EDT
GME,"Jul 15, 2021",https://finance.yahoo.com/quote/GME?p=GME,146,7,70,39,47,26,25,167.62,-12.44,-6.91%,At close:  4:00PM EDT
AAPL,"Jul 15, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,109,5,43,21,39,19,41,149.15,+3.51,+2.41%,At close:  4:00PM EDT
CLOV,"Jul 15, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,166,8,66,43,39,25,34,8.68,-0.23,-2.58%,At close:  4:00PM EDT
AMZN,"Jul 15, 2021",https://finance.yahoo.com/quote/AMZN?p=AMZN,9,<1,6,2,66,22,11,"3,681.68",+4.32,+0.12%,At close:  4:00PM EDT
ABNB,"Jul 15, 2021",https://finance.yahoo.com/quote/ABNB?p=ABNB,3,<1,1,0,33,0,66,139.09,-4.32,-3.01%,At close:  4:00PM EDT
ZIP,"Jul 15, 2021",https://finance.yahoo.com/quote/ZIP?p=ZIP,1,<1,0,0,0,0,100,24.91,-0.06,-0.24%,At close:  4:00PM EDT
PLTR,"Jul 15, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,32,1,18,8,56,25,18,21.56,-0.89,-3.96%,At close:  4:00PM EDT
PAYO,"Jul 15, 2021",https://finance.yahoo.com/quote/PAYO?p=PAYO,1,<1,0,0,0,0,100,9.61,-0.17,-1.74%,At close:  4:00PM EDT
SNDL,"Jul 15, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,6,<1,1,1,16,16,66,0.8400,-0.0350,-4.00%,At close:  4:00PM EDT
