ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
BB,"May 12, 2021",https://finance.yahoo.com/quote/BB?p=BB,28,1,16,5,57,17,25,8.30,+0.17,+2.09%,At close:  4:00PM EDT
AI,"May 12, 2021",https://finance.yahoo.com/quote/AI?p=AI,16,<1,13,3,81,18,0,54.75,+1.10,+2.05%,At close:  4:00PM EDT
ALL,"May 12, 2021",https://finance.yahoo.com/quote/ALL?p=ALL,12,<1,9,3,75,25,0,134.13,-0.36,-0.27%,At close:  4:00PM EDT
AAPL,"May 12, 2021",https://finance.yahoo.com/quote/AAPL?p=AAPL,12,<1,5,2,41,16,41,125.91,-0.94,-0.74%,At close:  4:00PM EDT
EW,"May 12, 2021",https://finance.yahoo.com/quote/EW?p=EW,1,<1,0,0,0,0,100,89.51,-0.89,-0.98%,At close:  4:00PM EDT
UWMC,"May 12, 2021",https://finance.yahoo.com/quote/UWMC?p=UWMC,39,2,11,13,28,33,38,6.79,+0.07,+1.04%,At close:  4:00PM EDT
MVIS,"May 12, 2021",https://finance.yahoo.com/quote/MVIS?p=MVIS,14,<1,4,5,28,35,35,14.67,+0.81,+5.84%,At close:  4:00PM EDT
SLV,"May 12, 2021",https://finance.yahoo.com/quote/SLV?p=SLV,16,<1,4,6,25,37,37,25.67,+0.32,+1.26%,At close:  4:00PM EDT
GME,"May 12, 2021",https://finance.yahoo.com/quote/GME?p=GME,171,10,80,48,46,28,25,146.92,+3.70,+2.58%,At close:  4:00PM EDT
AMC,"May 12, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,94,5,55,16,58,17,24,10.05,+0.31,+3.18%,At close:  4:00PM EDT
MNMD,"May 12, 2021",https://finance.yahoo.com/quote/MNMD?p=MNMD,4,<1,2,1,50,25,25,3.0800,+0.0100,+0.33%,At close:  4:00PM EDT
CLOV,"May 12, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,60,3,42,11,70,18,11,8.13,-0.13,-1.57%,At close:  4:00PM EDT
CND,"May 12, 2021",https://finance.yahoo.com/quote/CND?p=CND,4,<1,4,0,100,0,0,9.83,+0.06,+0.61%,At close:  4:00PM EDT
ET,"May 12, 2021",https://finance.yahoo.com/quote/ET?p=ET,11,<1,3,3,27,27,45,9.53,-0.26,-2.66%,At close:  4:00PM EDT
CPI,"May 12, 2021",https://finance.yahoo.com/quote/CPI?p=CPI,72,4,27,19,37,26,36,27.31,-0.02,-0.08%,At close:  9:39AM EDT
FUBO,"May 12, 2021",https://finance.yahoo.com/quote/FUBO?p=FUBO,66,3,24,15,36,22,40,17.67,+1.32,+8.07%,At close:  4:00PM EDT
PLTR,"May 12, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,275,16,112,75,40,27,32,20.21,+1.74,+9.42%,At close:  4:00PM EDT
BBQ,"May 12, 2021",https://finance.yahoo.com/quote/BBQ?p=BBQ,2,<1,1,0,50,0,50,11.24,-0.26,-2.26%,At close:  4:00PM EDT
ASO,"May 12, 2021",https://finance.yahoo.com/quote/ASO?p=ASO,22,1,12,3,54,13,31,35.07,+1.77,+5.32%,At close:  4:00PM EDT
SPY,"May 12, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,44,2,15,12,34,27,38,414.21,-3.73,-0.89%,At close:  4:00PM EDT
PTON,"May 12, 2021",https://finance.yahoo.com/quote/PTON?p=PTON,5,<1,0,2,0,40,60,91.01,+3.52,+4.02%,At close:  4:00PM EDT
BABA,"May 12, 2021",https://finance.yahoo.com/quote/BABA?p=BABA,14,<1,4,4,28,28,42,221.38,+1.85,+0.84%,At close:  4:00PM EDT
XOM,"May 12, 2021",https://finance.yahoo.com/quote/XOM?p=XOM,4,<1,3,0,75,0,25,60.59,-1.99,-3.18%,At close:  4:04PM EDT
QS,"May 12, 2021",https://finance.yahoo.com/quote/QS?p=QS,4,<1,1,1,25,25,50,29.48,+1.02,+3.58%,At close:  4:00PM EDT
SNDL,"May 12, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,7,<1,4,2,57,28,14,0.7400,+0.0078,+1.07%,At close:  4:00PM EDT
PLUG,"May 12, 2021",https://finance.yahoo.com/quote/PLUG?p=PLUG,8,<1,6,2,75,25,0,23.60,+3.53,+17.59%,At close:  4:00PM EDT
