ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
SPY,"Sep 23, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,116,9,36,38,31,32,36,437.86,+4.23,+0.98%,At close:  4:00PM EDT
GOEV,"Sep 23, 2021",https://finance.yahoo.com/quote/GOEV?p=GOEV,53,4,24,10,45,18,35,6.55,-0.14,-2.09%,At close:  4:00PM EDT
SNDL,"Sep 23, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,3,<1,2,1,66,33,0,0.6972,+0.0057,+0.82%,At close:  4:00PM EDT
IRNT,"Sep 23, 2021",https://finance.yahoo.com/quote/IRNT?p=IRNT,15,1,2,8,13,53,33,29.41,-1.55,-5.01%,At close:  4:00PM EDT
JMIA,"Sep 23, 2021",https://finance.yahoo.com/quote/JMIA?p=JMIA,1,<1,1,0,100,0,0,19.18,+0.31,+1.64%,At close:  4:00PM EDT
YANG,"Sep 23, 2021",https://finance.yahoo.com/quote/YANG?p=YANG,6,<1,3,0,50,0,50,18.76,-1.22,-6.11%,At close:  4:00PM EDT
SDC,"Sep 23, 2021",https://finance.yahoo.com/quote/SDC?p=SDC,101,8,45,11,44,10,44,6.26,-0.21,-3.25%,At close:  4:00PM EDT
BB,"Sep 23, 2021",https://finance.yahoo.com/quote/BB?p=BB,199,15,69,33,34,16,48,9.56,+0.19,+2.03%,At close:  4:00PM EDT
SOFI,"Sep 23, 2021",https://finance.yahoo.com/quote/SOFI?p=SOFI,56,4,28,6,50,10,39,16.84,+1.67,+11.01%,At close:  4:00PM EDT
GME,"Sep 23, 2021",https://finance.yahoo.com/quote/GME?p=GME,43,3,19,18,44,41,13,190.14,+0.19,+0.10%,At close:  4:00PM EDT
CRWD,"Sep 23, 2021",https://finance.yahoo.com/quote/CRWD?p=CRWD,2,<1,2,0,100,0,0,259.86,+5.75,+2.26%,At close:  4:00PM EDT
YOU,"Sep 23, 2021",https://finance.yahoo.com/quote/YOU?p=YOU,8,<1,4,4,50,50,0,40.27,-1.17,-2.82%,As of  10:17AM EDT. Market open.
AMC,"Sep 23, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,35,2,18,13,51,37,11,40.08,+1.26,+3.25%,At close:  4:00PM EDT
OG,"Sep 23, 2021",https://finance.yahoo.com/quote/OG?p=OG,4,<1,1,2,25,50,25,7.37,-0.02,-0.27%,At close:  4:00PM EDT
CLOV,"Sep 23, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,53,4,23,11,43,20,35,7.88,+0.11,+1.42%,At close:  4:00PM EDT
JACK,"Sep 23, 2021",https://finance.yahoo.com/quote/JACK?p=JACK,2,<1,2,0,100,0,0,,,,
CZOO,"Sep 23, 2021",https://finance.yahoo.com/quote/CZOO?p=CZOO,9,<1,3,1,33,11,55,8.94,-0.24,-2.61%,As of  10:15AM EDT. Market open.
RKLB,"Sep 23, 2021",https://finance.yahoo.com/quote/RKLB?p=RKLB,1,<1,0,0,0,0,100,14.54,+0.07,+0.48%,At close:  4:00PM EDT
SPIR,"Sep 23, 2021",https://finance.yahoo.com/quote/SPIR?p=SPIR,4,<1,2,1,50,25,25,18.45,+3.18,+20.83%,At close:  4:00PM EDT
RDW,"Sep 23, 2021",https://finance.yahoo.com/quote/RDW?p=RDW,1,<1,0,0,0,0,100,11.73,+0.37,+3.26%,As of  10:18AM EDT. Market open.
TV,"Sep 23, 2021",https://finance.yahoo.com/quote/TV?p=TV,8,<1,3,4,37,50,12,,,,
TLRY,"Sep 23, 2021",https://finance.yahoo.com/quote/TLRY?p=TLRY,6,<1,2,0,33,0,66,11.63,+0.41,+3.65%,At close:  4:00PM EDT
TMC,"Sep 23, 2021",https://finance.yahoo.com/quote/TMC?p=TMC,44,3,27,11,61,25,13,6.92,-2.30,-24.92%,At close:  4:00PM EDT
PSL,"Sep 23, 2021",https://finance.yahoo.com/quote/PSL?p=PSL,1,<1,0,0,0,0,100,,,,
MA,"Sep 23, 2021",https://finance.yahoo.com/quote/MA?p=MA,2,<1,2,0,100,0,0,343.41,+6.03,+1.79%,At close:  4:00PM EDT
NUTS,"Sep 23, 2021",https://finance.yahoo.com/quote/NUTS?p=NUTS,1,<1,0,0,0,0,100,,,,
VXUS,"Sep 23, 2021",https://finance.yahoo.com/quote/VXUS?p=VXUS,1,<1,0,0,0,0,100,64.70,+0.51,+0.79%,At close:  4:00PM EDT
UP,"Sep 23, 2021",https://finance.yahoo.com/quote/UP?p=UP,6,<1,0,3,0,50,50,7.51,+0.02,+0.27%,As of  9:46AM EDT. Market open.
NKE,"Sep 23, 2021",https://finance.yahoo.com/quote/NKE?p=NKE,4,<1,2,0,50,0,50,157.44,+2.42,+1.56%,At close:  4:00PM EDT
WISH,"Sep 23, 2021",https://finance.yahoo.com/quote/WISH?p=WISH,10,<1,6,3,60,30,10,5.91,+0.06,+1.03%,At close:  4:00PM EDT
TSLA,"Sep 23, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,8,<1,3,2,37,25,37,751.94,+12.56,+1.70%,At close:  4:00PM EDT
ROKU,"Sep 23, 2021",https://finance.yahoo.com/quote/ROKU?p=ROKU,1,<1,0,0,0,0,100,324.77,+5.77,+1.81%,At close:  4:00PM EDT
LCID,"Sep 23, 2021",https://finance.yahoo.com/quote/LCID?p=LCID,17,1,10,1,58,5,35,24.95,-1.86,-6.94%,At close:  4:00PM EDT
BABA,"Sep 23, 2021",https://finance.yahoo.com/quote/BABA?p=BABA,9,<1,5,1,55,11,33,151.89,+1.71,+1.14%,At close:  4:00PM EDT
