ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
GME,"Dec 31, 2020",https://finance.yahoo.com/quote/GME?p=GME,500,22,230,127,46,25,28,19.26,-0.12,-0.62%,At close:  4:00PM EST
LMND,"Dec 31, 2020",https://finance.yahoo.com/quote/LMND?p=LMND,2,<1,0,1,0,50,50,129.89,+11.55,+9.76%,At close:  4:00PM EST
BB,"Dec 31, 2020",https://finance.yahoo.com/quote/BB?p=BB,5,<1,2,3,40,60,0,6.67,-0.10,-1.48%,At close:  4:00PM EST
SPCE,"Dec 31, 2020",https://finance.yahoo.com/quote/SPCE?p=SPCE,11,<1,2,3,18,27,54,24.01,+0.26,+1.09%,At close:  4:00PM EST
ARE,"Dec 31, 2020",https://finance.yahoo.com/quote/ARE?p=ARE,4,<1,1,3,25,75,0,175.09,+1.02,+0.59%,At close:  4:00PM EST
PLTR,"Dec 31, 2020",https://finance.yahoo.com/quote/PLTR?p=PLTR,284,12,122,63,42,22,34,25.10,+0.44,+1.78%,At close:  4:00PM EST
MT,"Dec 31, 2020",https://finance.yahoo.com/quote/MT?p=MT,18,<1,3,4,16,22,61,23.44,+0.46,+2.00%,At close:  4:00PM EST
VALE,"Dec 31, 2020",https://finance.yahoo.com/quote/VALE?p=VALE,8,<1,4,1,50,12,37,16.95,+0.11,+0.65%,At close:  4:00PM EST
NIO,"Dec 31, 2020",https://finance.yahoo.com/quote/NIO?p=NIO,82,3,35,17,42,20,36,48.38,+2.24,+4.85%,At close:  4:00PM EST
UL,"Dec 31, 2020",https://finance.yahoo.com/quote/UL?p=UL,1,<1,0,0,0,0,100,60.90,+0.77,+1.28%,At close:  4:00PM EST
HIMX,"Dec 31, 2020",https://finance.yahoo.com/quote/HIMX?p=HIMX,3,<1,0,0,0,0,100,8.16,+1.40,+20.71%,At close:  4:00PM EST
